Date,Opp
2013-10-29,MIA
2013-10-31,NYK
2013-11-02,PHI
2013-11-06,IND
2013-11-08,UTA
2013-11-11,CLE
2013-11-15,TOR
2013-11-16,IND
2013-11-18,CHA
2013-11-21,DEN
2013-11-22,POR
2013-11-24,LAC
2013-11-25,UTA
2013-11-27,DET
2013-11-30,CLE
2013-12-02,NOP
2013-12-05,MIA
2013-12-07,DET
2013-12-10,MIL
2013-12-11,NYK
2013-12-13,MIL
2013-12-14,TOR
2013-12-16,ORL
2013-12-18,HOU
2013-12-19,OKC
2013-12-21,CLE
2013-12-25,BRK
2013-12-28,DAL
2013-12-30,MEM
2013-12-31,TOR
2014-01-02,BOS
2014-01-04,ATL
2014-01-07,PHO
2014-01-10,MIL
2014-01-11,CHA
2014-01-13,WAS
2014-01-15,ORL
2014-01-17,WAS
2014-01-18,PHI
2014-01-20,LAL
2014-01-22,CLE
2014-01-24,LAC
2014-01-25,CHA
2014-01-27,MIN
2014-01-29,SAS
2014-02-01,NOP
2014-02-03,SAC
2014-02-04,PHO
2014-02-06,GSW
2014-02-09,LAL
2014-02-11,ATL
2014-02-13,BRK
2014-02-19,TOR
2014-02-21,DEN
2014-02-23,MIA
2014-02-25,ATL
2014-02-26,GSW
2014-02-28,DAL
2014-03-02,NYK
2014-03-03,BRK
2014-03-05,DET
2014-03-07,MEM
2014-03-09,MIA
2014-03-11,SAS
2014-03-13,HOU
2014-03-15,SAC
2014-03-17,OKC
2014-03-19,PHI
2014-03-21,IND
2014-03-22,PHI
2014-03-24,IND
2014-03-28,POR
2014-03-30,BOS
2014-03-31,BOS
2014-04-02,ATL
2014-04-04,MIL
2014-04-05,WAS
2014-04-09,MIN
2014-04-11,DET
2014-04-13,NYK
2014-04-14,ORL
2014-04-16,CHA
