Player,WS48
Michael Jordan,.321
Scottie Pippen,.179
Horace Grant,.188
Bill Cartwright,.089
John Paxson,.140
B.J. Armstrong,.114
Stacey King,.059
Cliff Levingston,.095
Will Perdue,.115
Craig Hodges,.099
Dennis Hopson,.035
Scott Williams,.129
