Date,Opp
1993-11-05,CHH
1993-11-06,MIA
1993-11-08,ATL
1993-11-10,MIL
1993-11-13,BOS
1993-11-16,SEA
1993-11-18,POR
1993-11-19,LAL
1993-11-21,SAC
1993-11-23,HOU
1993-11-24,SAS
1993-11-26,DAL
1993-11-30,PHO
1993-12-03,MIA
1993-12-07,LAC
1993-12-08,PHI
1993-12-10,NJN
1993-12-11,CLE
1993-12-15,BOS
1993-12-17,NYK
1993-12-18,SAS
1993-12-20,CHH
1993-12-22,MIN
1993-12-23,DET
1993-12-25,ORL
1993-12-29,NJN
1993-12-30,CHH
1994-01-04,DET
1994-01-05,ORL
1994-01-07,WSB
1994-01-08,DAL
1994-01-12,ATL
1994-01-14,UTA
1994-01-15,HOU
1994-01-17,PHI
1994-01-19,WSB
1994-01-21,IND
1994-01-22,IND
1994-01-24,DET
1994-01-27,CLE
1994-01-28,MIL
1994-02-01,DEN
1994-02-03,UTA
1994-02-04,GSW
1994-02-06,PHO
1994-02-08,LAC
1994-02-10,MIL
1994-02-16,MIA
1994-02-18,DEN
1994-02-20,NYK
1994-02-21,CHH
1994-02-23,GSW
1994-02-25,WSB
1994-02-26,IND
1994-02-28,CLE
1994-03-02,LAL
1994-03-04,POR
1994-03-06,CLE
1994-03-08,ATL
1994-03-11,ATL
1994-03-12,SAC
1994-03-15,ORL
1994-03-16,BOS
1994-03-18,SEA
1994-03-20,MIN
1994-03-22,NYK
1994-03-23,PHI
1994-03-25,NJN
1994-03-26,IND
1994-03-29,PHI
1994-04-01,DET
1994-04-03,DET
1994-04-05,WSB
1994-04-08,IND
1994-04-09,MIL
1994-04-12,NJN
1994-04-13,MIA
1994-04-15,CHH
1994-04-17,ORL
1994-04-18,ATL
1994-04-22,BOS
1994-04-24,NYK
