Date,Opp
1985-10-25,CLE
1985-10-26,DET
1985-10-29,GSW
1985-10-31,LAC
1985-11-02,SEA
1985-11-06,DET
1985-11-07,NJN
1985-11-09,NYK
1985-11-12,MIL
1985-11-13,PHI
1985-11-15,MIL
1985-11-16,CLE
1985-11-19,IND
1985-11-20,ATL
1985-11-23,GSW
1985-11-24,WSB
1985-11-26,DEN
1985-11-27,UTA
1985-11-29,POR
1985-12-01,LAL
1985-12-03,SAC
1985-12-04,PHO
1985-12-06,SAS
1985-12-07,HOU
1985-12-10,SAS
1985-12-12,PHI
1985-12-14,SAC
1985-12-15,BOS
1985-12-17,BOS
1985-12-19,WSB
1985-12-21,UTA
1985-12-26,NYK
1985-12-28,IND
1985-12-30,CLE
1986-01-02,DET
1986-01-04,ATL
1986-01-07,NJN
1986-01-11,LAC
1986-01-14,WSB
1986-01-15,DET
1986-01-17,PHI
1986-01-19,WSB
1986-01-20,LAL
1986-01-25,PHO
1986-01-27,DAL
1986-01-28,NYK
1986-01-30,BOS
1986-02-01,HOU
1986-02-02,IND
1986-02-04,DET
1986-02-06,MIL
1986-02-12,PHI
1986-02-14,IND
1986-02-16,DAL
1986-02-17,IND
1986-02-19,NJN
1986-02-21,POR
1986-02-22,SEA
1986-02-24,DET
1986-02-25,PHI
1986-02-28,CLE
1986-03-04,BOS
1986-03-05,BOS
1986-03-07,ATL
1986-03-09,NYK
1986-03-11,NJN
1986-03-13,DEN
1986-03-15,MIL
1986-03-17,ATL
1986-03-19,PHI
1986-03-21,BOS
1986-03-22,CLE
1986-03-25,NYK
1986-03-28,NJN
1986-03-29,NYK
1986-04-01,MIL
1986-04-03,IND
1986-04-05,ATL
1986-04-07,MIL
1986-04-08,ATL
1986-04-11,WSB
1986-04-13,CLE
