Player,WS48
Pau Gasol,.187
Jimmy Butler,.214
Joakim Noah,.130
Aaron Brooks,.083
Mike Dunleavy,.108
Taj Gibson,.137
Nikola Mirotić,.165
Kirk Hinrich,.030
Derrick Rose,.038
Tony Snell,.082
E'Twaun Moore,.080
Doug McDermott,-0.005
Nazr Mohammed,.040
Cameron Bairstow,-0.048
