Date,Opp
2014-10-29,NYK
2014-10-31,CLE
2014-11-01,MIN
2014-11-04,ORL
2014-11-05,MIL
2014-11-07,PHI
2014-11-08,BOS
2014-11-10,DET
2014-11-13,TOR
2014-11-15,IND
2014-11-17,LAC
2014-11-20,SAC
2014-11-21,POR
2014-11-24,UTA
2014-11-25,DEN
2014-11-28,BOS
2014-11-30,BRK
2014-12-02,DAL
2014-12-03,CHO
2014-12-06,GSW
2014-12-10,BRK
2014-12-12,POR
2014-12-14,MIA
2014-12-15,ATL
2014-12-18,NYK
2014-12-19,MEM
2014-12-22,TOR
2014-12-23,WAS
2014-12-25,LAL
2014-12-27,NOP
2014-12-29,IND
2014-12-30,BRK
2015-01-01,DEN
2015-01-03,BOS
2015-01-05,HOU
2015-01-07,UTA
2015-01-09,WAS
2015-01-10,MIL
2015-01-12,ORL
2015-01-14,WAS
2015-01-16,BOS
2015-01-17,ATL
2015-01-19,CLE
2015-01-22,SAS
2015-01-23,DAL
2015-01-25,MIA
2015-01-27,GSW
2015-01-29,LAL
2015-01-30,PHO
2015-02-04,HOU
2015-02-07,NOP
2015-02-08,ORL
2015-02-10,SAC
2015-02-12,CLE
2015-02-20,DET
2015-02-21,PHO
2015-02-23,MIL
2015-02-25,CHO
2015-02-27,MIN
2015-03-01,LAC
2015-03-03,WAS
2015-03-05,OKC
2015-03-06,IND
2015-03-08,SAS
2015-03-09,MEM
2015-03-11,PHI
2015-03-13,CHO
2015-03-15,OKC
2015-03-18,IND
2015-03-20,TOR
2015-03-21,DET
2015-03-23,CHO
2015-03-25,TOR
2015-03-28,NYK
2015-04-01,MIL
2015-04-03,DET
2015-04-05,CLE
2015-04-08,ORL
2015-04-09,MIA
2015-04-11,PHI
2015-04-13,BRK
2015-04-15,ATL
