Date,Opp
2009-10-29,SAS
2009-10-30,BOS
2009-11-01,MIA
2009-11-03,MIL
2009-11-05,CLE
2009-11-07,CHA
2009-11-10,DEN
2009-11-11,TOR
2009-11-14,PHI
2009-11-17,SAC
2009-11-19,LAL
2009-11-21,DEN
2009-11-23,POR
2009-11-26,UTA
2009-11-30,MIL
2009-12-02,DET
2009-12-04,CLE
2009-12-05,TOR
2009-12-08,NJN
2009-12-09,ATL
2009-12-11,GSW
2009-12-12,BOS
2009-12-15,LAL
2009-12-17,NYK
2009-12-19,ATL
2009-12-21,SAC
2009-12-22,NYK
2009-12-26,NOH
2009-12-29,IND
2009-12-31,DET
2010-01-02,ORL
2010-01-04,OKC
2010-01-05,CHA
2010-01-08,MIL
2010-01-09,MIN
2010-01-11,DET
2010-01-14,BOS
2010-01-15,WAS
2010-01-18,GSW
2010-01-20,LAC
2010-01-22,PHO
2010-01-23,HOU
2010-01-25,SAS
2010-01-27,OKC
2010-01-29,NOH
2010-02-02,LAC
2010-02-03,PHI
2010-02-05,ATL
2010-02-06,MIA
2010-02-09,IND
2010-02-10,ORL
2010-02-16,NYK
2010-02-17,NYK
2010-02-19,MIN
2010-02-20,PHI
2010-02-22,WAS
2010-02-24,IND
2010-02-26,POR
2010-02-27,IND
2010-03-01,ATL
2010-03-04,MEM
2010-03-06,DAL
2010-03-09,UTA
2010-03-11,ORL
2010-03-12,MIA
2010-03-16,MEM
2010-03-17,DAL
2010-03-19,CLE
2010-03-20,PHI
2010-03-22,HOU
2010-03-25,MIA
2010-03-27,NJN
2010-03-28,DET
2010-03-30,PHO
2010-04-02,WAS
2010-04-03,CHA
2010-04-06,MIL
2010-04-08,CLE
2010-04-09,NJN
2010-04-11,TOR
2010-04-13,BOS
2010-04-14,CHA
