Date,Opp
1986-11-01,NYK
1986-11-02,CLE
1986-11-04,SAS
1986-11-07,DET
1986-11-08,PHO
1986-11-11,ATL
1986-11-12,WSB
1986-11-14,BOS
1986-11-21,NYK
1986-11-22,WSB
1986-11-26,DEN
1986-11-28,LAL
1986-11-29,GSW
1986-12-02,SEA
1986-12-03,UTA
1986-12-05,PHO
1986-12-06,SAS
1986-12-09,DEN
1986-12-10,ATL
1986-12-12,MIL
1986-12-13,MIL
1986-12-16,NJN
1986-12-18,IND
1986-12-20,UTA
1986-12-23,CLE
1986-12-25,NYK
1986-12-27,IND
1986-12-30,GSW
1987-01-02,BOS
1987-01-03,DET
1987-01-06,CLE
1987-01-08,POR
1987-01-10,NJN
1987-01-15,HOU
1987-01-17,PHI
1987-01-19,IND
1987-01-20,MIL
1987-01-23,CLE
1987-01-24,CLE
1987-01-27,BOS
1987-01-28,BOS
1987-01-30,PHI
1987-02-01,DET
1987-02-03,WSB
1987-02-05,MIL
1987-02-10,PHI
1987-02-13,SEA
1987-02-14,NYK
1987-02-16,SAC
1987-02-20,LAL
1987-02-22,CLE
1987-02-24,ATL
1987-02-26,NJN
1987-02-28,MIL
1987-03-01,NJN
1987-03-03,LAC
1987-03-04,DET
1987-03-06,NYK
1987-03-08,DAL
1987-03-09,ATL
1987-03-11,PHI
1987-03-13,DET
1987-03-14,WSB
1987-03-16,HOU
1987-03-17,DAL
1987-03-19,LAC
1987-03-21,SAC
1987-03-22,POR
1987-03-24,PHI
1987-03-26,NJN
1987-03-27,BOS
1987-03-29,NYK
1987-03-31,WSB
1987-04-01,IND
1987-04-03,WSB
1987-04-04,ATL
1987-04-07,DET
1987-04-10,PHI
1987-04-12,IND
1987-04-13,MIL
1987-04-16,ATL
1987-04-17,BOS
