Player,WS48
Michael Jordan,.247
Charles Oakley,.056
John Paxson,.106
Dave Corzine,.089
Gene Banks,.095
Brad Sellers,.091
Earl Cureton,.066
Elston Turner,.063
Mike Brown,.060
Sedale Threatt,.129
Granville Waiters,.049
Steve Colter,.019
Ben Poquette,.127
Pete Myers,.092
Fred Cofield,-0.119
Perry Young,.005
Darren Daye,-0.124
