Date,Opp
1997-10-31,BOS
1997-11-01,PHI
1997-11-03,SAS
1997-11-05,ORL
1997-11-07,ATL
1997-11-08,NJN
1997-11-11,CLE
1997-11-12,WAS
1997-11-14,CHH
1997-11-15,CLE
1997-11-20,PHO
1997-11-21,LAC
1997-11-23,SAC
1997-11-25,SEA
1997-11-28,IND
1997-11-29,WAS
1997-12-03,BOS
1997-12-05,MIL
1997-12-09,NYK
1997-12-10,ORL
1997-12-12,CHH
1997-12-13,TOR
1997-12-15,PHO
1997-12-17,LAL
1997-12-20,NJN
1997-12-23,LAC
1997-12-25,MIA
1997-12-27,ATL
1997-12-29,DAL
1997-12-30,MIN
1998-01-02,MIL
1998-01-03,DET
1998-01-06,BOS
1998-01-07,MIA
1998-01-09,NYK
1998-01-10,GSW
1998-01-13,SEA
1998-01-15,PHI
1998-01-16,MIL
1998-01-18,HOU
1998-01-21,CHH
1998-01-23,NJN
1998-01-25,UTA
1998-01-27,VAN
1998-01-29,POR
1998-01-30,GSW
1998-02-01,LAL
1998-02-02,DEN
1998-02-04,UTA
1998-02-10,TOR
1998-02-11,CHH
1998-02-13,ATL
1998-02-15,DET
1998-02-17,IND
1998-02-19,TOR
1998-02-21,WAS
1998-02-23,CLE
1998-02-25,POR
1998-02-28,SAC
1998-03-03,DEN
1998-03-08,NYK
1998-03-10,MIA
1998-03-12,DAL
1998-03-14,SAS
1998-03-16,NJN
1998-03-17,IND
1998-03-20,VAN
1998-03-22,TOR
1998-03-23,BOS
1998-03-25,ORL
1998-03-27,ATL
1998-03-29,MIL
1998-03-31,DET
1998-04-03,MIN
1998-04-05,HOU
1998-04-07,WAS
1998-04-09,CLE
1998-04-11,ORL
1998-04-13,IND
1998-04-15,DET
1998-04-17,PHI
1998-04-18,NYK
