Date,Opp
1989-11-03,CLE
1989-11-04,BOS
1989-11-07,DET
1989-11-08,MIN
1989-11-10,NJN
1989-11-11,SEA
1989-11-14,SAC
1989-11-15,UTA
1989-11-18,SEA
1989-11-21,POR
1989-11-22,PHO
1989-11-25,GSW
1989-11-26,LAC
1989-11-28,ATL
1989-12-02,MIA
1989-12-05,DEN
1989-12-08,IND
1989-12-09,PHI
1989-12-12,DAL
1989-12-14,ORL
1989-12-16,CHH
1989-12-19,LAL
1989-12-20,ORL
1989-12-22,ATL
1989-12-23,PHI
1989-12-26,MIN
1989-12-29,SAS
1989-12-30,WSB
1990-01-03,CLE
1990-01-05,ORL
1990-01-06,MIL
1990-01-09,DET
1990-01-10,IND
1990-01-12,CHH
1990-01-13,LAC
1990-01-15,NYK
1990-01-18,GSW
1990-01-19,ATL
1990-01-21,NYK
1990-01-23,DET
1990-01-26,PHI
1990-01-27,NJN
1990-01-29,ATL
1990-02-01,HOU
1990-02-03,SAS
1990-02-07,LAL
1990-02-08,DEN
1990-02-13,MIA
1990-02-14,ORL
1990-02-16,MIA
1990-02-18,MIL
1990-02-19,HOU
1990-02-23,POR
1990-02-25,NJN
1990-02-27,MIL
1990-03-02,NJN
1990-03-04,BOS
1990-03-06,MIL
1990-03-08,UTA
1990-03-10,IND
1990-03-13,NYK
1990-03-16,DET
1990-03-17,PHI
1990-03-20,WSB
1990-03-21,ATL
1990-03-23,CLE
1990-03-24,SAC
1990-03-26,PHO
1990-03-28,CLE
1990-03-30,NYK
1990-04-01,MIA
1990-04-03,IND
1990-04-05,ORL
1990-04-07,DAL
1990-04-11,CLE
1990-04-13,MIL
1990-04-14,WSB
1990-04-16,IND
1990-04-17,BOS
1990-04-19,WSB
1990-04-20,BOS
1990-04-22,DET
