Player,WS48
Luol Deng,.105
Carlos Boozer,.108
Joakim Noah,.145
Jimmy Butler,.158
Nate Robinson,.136
Marco Belinelli,.076
Kirk Hinrich,.085
Taj Gibson,.109
Richard Hamilton,.016
Nazr Mohammed,.082
Marquis Teague,-0.031
Daequan Cook,-0.048
Vladimir Radmanović,.020
Malcolm Thomas,.166
Lou Amundson,-0.274
