Date,Opp
2012-10-31,SAC
2012-11-02,CLE
2012-11-03,NOH
2012-11-06,ORL
2012-11-08,OKC
2012-11-10,MIN
2012-11-12,BOS
2012-11-14,PHO
2012-11-17,LAC
2012-11-18,POR
2012-11-21,HOU
2012-11-24,MIL
2012-11-26,MIL
2012-11-28,DAL
2012-12-01,PHI
2012-12-04,IND
2012-12-05,CLE
2012-12-07,DET
2012-12-08,NYK
2012-12-11,LAC
2012-12-12,PHI
2012-12-15,BRK
2012-12-17,MEM
2012-12-18,BOS
2012-12-21,NYK
2012-12-22,ATL
2012-12-25,HOU
2012-12-29,WAS
2012-12-31,CHA
2013-01-02,ORL
2013-01-04,MIA
2013-01-07,CLE
2013-01-09,MIL
2013-01-11,NYK
2013-01-12,PHO
2013-01-14,ATL
2013-01-16,TOR
2013-01-18,BOS
2013-01-19,MEM
2013-01-21,LAL
2013-01-23,DET
2013-01-25,GSW
2013-01-26,WAS
2013-01-28,CHA
2013-01-30,MIL
2013-02-01,BRK
2013-02-02,ATL
2013-02-04,IND
2013-02-07,DEN
2013-02-08,UTA
2013-02-11,SAS
2013-02-13,BOS
2013-02-19,NOH
2013-02-21,MIA
2013-02-22,CHA
2013-02-24,OKC
2013-02-26,CLE
2013-02-28,PHI
2013-03-02,BRK
2013-03-03,IND
2013-03-06,SAS
2013-03-08,UTA
2013-03-10,LAL
2013-03-13,SAC
2013-03-15,GSW
2013-03-18,DEN
2013-03-21,POR
2013-03-23,IND
2013-03-24,MIN
2013-03-27,MIA
2013-03-30,DAL
2013-03-31,DET
2013-04-02,WAS
2013-04-04,BRK
2013-04-05,ORL
2013-04-07,DET
2013-04-09,TOR
2013-04-11,NYK
2013-04-12,TOR
2013-04-14,MIA
2013-04-15,ORL
2013-04-17,WAS
