Rk,Player,Date,Age,Team,Sep,Opp,Result,GS,MP,FG,FGA,FGper,TwoP,TwoPA,TwoPper,ThreeP,ThreePA,ThreePper,FT,FTA,FTper,TSper,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,Pos,Player_additional
288,Kobe Bryant,2000-12-10,22-109,LAL,,DET,W 112-88,1,34,11,21,.524,9,16,.563,2,5,.400,2,2,1.000,.594,1,3,4,9,1,1,1,2,26,23.5,12.3,G-F,bryanko01
289,Kobe Bryant,2000-12-12,22-111,LAL,,MIL,L 105-109,1,41,8,31,.258,5,21,.238,3,10,.300,6,7,.857,.367,2,4,6,6,2,0,3,3,25,10.7,-4.6,G-F,bryanko01
290,Kobe Bryant,2000-12-13,22-112,LAL,@,POR,L 86-96,1,45,13,25,.520,13,23,.565,0,2,.000,9,13,.692,.570,1,5,6,6,2,0,1,5,35,26.5,12.3,G-F,bryanko01
291,Kobe Bryant,2000-12-15,22-114,LAL,,VAN,W 98-76,1,35,7,18,.389,6,15,.400,1,3,.333,2,2,1.000,.450,1,3,4,1,1,1,3,2,17,7.4,-5.5,G-F,bryanko01
292,Kobe Bryant,2000-12-17,22-116,LAL,@,TOR,W 104-101 (OT),1,52,14,29,.483,13,24,.542,1,5,.200,11,11,1.000,.591,1,6,7,4,0,3,2,3,40,29.5,9.7,G-F,bryanko01
293,Kobe Bryant,2000-12-19,22-118,LAL,@,MIA,W 81-79,1,45,9,24,.375,9,22,.409,0,2,.000,5,8,.625,.418,2,3,5,6,0,0,3,4,23,10.5,-1.4,G-F,bryanko01
294,Kobe Bryant,2000-12-21,22-120,LAL,@,HOU,W 99-94,1,44,20,26,.769,19,25,.760,1,1,1.000,4,6,.667,.786,3,1,4,3,1,0,1,1,45,38.1,19.8,G-F,bryanko01
295,Kobe Bryant,2000-12-22,22-121,LAL,@,DAL,W 108-103,1,46,12,20,.600,11,19,.579,1,1,1.000,10,10,1.000,.717,1,3,4,4,0,0,5,5,35,23.2,2.9,G-F,bryanko01
296,Kobe Bryant,2000-12-25,22-124,LAL,,POR,L 104-109,1,46,9,20,.450,9,16,.563,0,4,.000,11,14,.786,.554,0,2,2,6,2,0,2,6,29,19.8,3.4,G-F,bryanko01
297,Kobe Bryant,2000-12-28,22-127,LAL,@,PHO,W 115-78,1,33,12,19,.632,9,16,.563,3,3,1.000,11,11,1.000,.797,1,4,5,1,3,0,1,2,38,33.3,21.8,G-F,bryanko01
298,Kobe Bryant,2000-12-30,22-129,LAL,@,LAC,W 116-114 (OT),1,34,7,18,.389,5,11,.455,2,7,.286,1,2,.500,.450,0,5,5,6,1,0,0,1,17,13.1,0.0,G-F,bryanko01
299,Kobe Bryant,2001-01-03,22-133,LAL,,UTA,W 82-71,1,45,13,24,.542,11,18,.611,2,6,.333,3,4,.750,.602,0,4,4,4,3,0,5,5,31,19.0,7.9,G-F,bryanko01
300,Kobe Bryant,2001-01-07,22-137,LAL,,LAC,L 95-118,1,45,10,24,.417,10,19,.526,0,5,.000,7,8,.875,.491,2,4,6,4,3,1,4,5,27,16.9,0.0,G-F,bryanko01
301,Kobe Bryant,2001-01-12,22-142,LAL,,CLE,W 101-98,1,42,10,25,.400,8,19,.421,2,6,.333,10,11,.909,.536,2,3,5,5,2,2,4,6,32,20.9,4.7,G-F,bryanko01
302,Kobe Bryant,2001-01-13,22-143,LAL,@,UTA,L 103-111,1,46,8,24,.333,8,18,.444,0,6,.000,11,12,.917,.461,2,7,9,4,3,0,0,5,27,20.3,0.7,G-F,bryanko01
303,Kobe Bryant,2001-01-15,22-145,LAL,,VAN,W 113-112 (OT),1,46,10,24,.417,10,20,.500,0,4,.000,6,8,.750,.472,0,11,11,11,2,2,3,1,26,23.4,3.5,G-F,bryanko01
