Rk,Player,Date,Age,Team,Sep,Opp,Result,GS,MP,FG,FGA,FGper,TwoP,TwoPA,TwoPper,ThreeP,ThreePA,ThreePper,FT,FTA,FTper,TSper,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,Pos,Player_additional
323,Kobe Bryant,2001-03-07,22-196,LAL,,TOR,W 97-85,1,38,11,34,.324,11,32,.344,0,2,.000,7,7,1.000,.391,5,2,7,5,0,0,3,4,29,12.6,-4.5,G-F,bryanko01
324,Kobe Bryant,2001-03-09,22-198,LAL,,SAS,L 89-93 (OT),1,44,16,33,.485,16,32,.500,0,1,.000,6,8,.750,.520,2,5,7,2,1,0,4,5,38,19.8,9.5,G-F,bryanko01
325,Kobe Bryant,2001-03-15,22-204,LAL,@,DET,W 125-119 (OT),1,48,16,28,.571,15,25,.600,1,3,.333,6,7,.857,.627,1,4,5,7,3,0,4,5,39,29.2,7.5,G-F,bryanko01
326,Kobe Bryant,2001-03-16,22-205,LAL,@,WAS,W 101-89,1,36,11,18,.611,10,16,.625,1,2,.500,3,4,.750,.658,0,5,5,5,5,2,2,3,26,25.6,17.5,G-F,bryanko01
327,Kobe Bryant,2001-03-18,22-207,LAL,@,ORL,W 95-90,1,37,5,17,.294,5,16,.313,0,1,.000,6,7,.857,.398,1,1,2,7,1,0,3,5,16,7.6,-5.1,G-F,bryanko01
328,Kobe Bryant,2001-03-19,22-208,LAL,@,ATL,L 106-108,1,44,10,22,.455,10,22,.455,0,0,,7,9,.778,.520,5,7,12,4,0,1,7,4,27,15.3,-4.6,G-F,bryanko01
329,Kobe Bryant,2001-03-21,22-210,LAL,@,MIL,L 100-107,1,42,4,15,.267,4,14,.286,0,1,.000,5,7,.714,.360,1,6,7,8,0,0,4,3,13,6.2,-7.3,G-F,bryanko01
330,Kobe Bryant,2001-04-01,22-221,LAL,,NYK,L 78-79,1,11,0,4,.000,0,2,.000,0,2,.000,0,0,,.000,0,0,0,2,0,0,0,2,0,-2.2,-17.6,G-F,bryanko01
331,Kobe Bryant,2001-04-10,22-230,LAL,,PHO,W 106-80,1,35,7,14,.500,7,13,.538,0,1,.000,6,8,.750,.571,1,2,3,4,6,0,1,3,20,20.1,10.6,G-F,bryanko01
332,Kobe Bryant,2001-04-12,22-232,LAL,,MIN,W 119-102,1,37,14,24,.583,14,24,.583,0,0,,2,3,.667,.592,0,5,5,9,1,0,1,2,30,25.4,8.7,G-F,bryanko01
333,Kobe Bryant,2001-04-15,22-235,LAL,,POR,W 105-100,1,45,9,21,.429,9,19,.474,0,2,.000,7,10,.700,.492,0,4,4,7,1,1,1,4,25,17.9,2.3,G-F,bryanko01
334,Kobe Bryant,2001-04-17,22-237,LAL,,DEN,W 108-91,1,33,7,13,.538,6,11,.545,1,2,.500,11,13,.846,.694,0,5,5,5,2,0,2,2,26,23.1,12.3,G-F,bryanko01
335,Kobe Bryant,2001-10-30,23-068,LAL,,POR,W 98-87,1,43,11,24,.458,10,23,.435,1,1,1.000,6,8,.750,.527,2,5,7,4,3,1,2,0,29,23.2,9.2,G-F,bryanko01
336,Kobe Bryant,2001-11-01,23-070,LAL,@,UTA,W 105-101,1,43,11,22,.500,10,19,.526,1,3,.333,16,19,.842,.642,1,5,6,8,3,1,2,3,39,35.1,16.7,G-F,bryanko01
337,Kobe Bryant,2001-11-02,23-071,LAL,,PHO,W 117-94,1,38,9,14,.643,9,14,.643,0,0,,6,7,.857,.703,3,3,6,9,2,1,7,4,24,20.8,3.8,G-F,bryanko01
338,Kobe Bryant,2001-11-04,23-073,LAL,,UTA,W 100-96,1,44,13,21,.619,13,21,.619,0,0,,12,15,.800,.688,1,5,6,7,3,1,5,5,38,31.1,10.7,G-F,bryanko01
339,Kobe Bryant,2001-11-09,23-078,LAL,,MEM,W 110-86,1,33,5,15,.333,4,13,.308,1,2,.500,2,2,1.000,.409,1,5,6,7,5,3,2,0,13,16.7,10.3,G-F,bryanko01
340,Kobe Bryant,2001-11-11,23-080,LAL,,ORL,W 108-95,1,33,8,13,.615,8,13,.615,0,0,,12,14,.857,.731,2,3,5,8,1,1,4,6,28,24.5,14.1,G-F,bryanko01
341,Kobe Bryant,2001-11-15,23-084,LAL,@,HOU,W 98-97 (OT),1,49,13,27,.481,13,25,.520,0,2,.000,5,5,1.000,.531,2,1,3,5,1,0,2,3,31,20.3,3.6,G-F,bryanko01
342,Kobe Bryant,2001-11-16,23-085,LAL,@,PHO,L 83-95,1,42,5,15,.333,4,12,.333,1,3,.333,7,8,.875,.486,1,2,3,5,2,0,2,2,18,13.1,2.7,G-F,bryanko01
343,Kobe Bryant,2001-11-18,23-087,LAL,,SAC,W 93-85,1,43,10,19,.526,10,19,.526,0,0,,9,10,.900,.620,2,3,5,8,1,0,4,3,29,23.0,10.2,G-F,bryanko01
344,Kobe Bryant,2001-11-20,23-089,LAL,@,LAC,W 98-93,1,42,7,14,.500,4,11,.364,3,3,1.000,8,10,.800,.679,0,4,4,12,3,1,4,2,25,25.7,14.3,G-F,bryanko01
345,Kobe Bryant,2001-11-21,23-090,LAL,@,DEN,W 89-68,1,37,9,15,.600,8,13,.615,1,2,.500,5,6,.833,.680,3,10,13,7,2,0,4,4,24,23.1,12.7,G-F,bryanko01
346,Kobe Bryant,2001-11-23,23-092,LAL,,GSW,W 106-90,1,27,11,14,.786,11,13,.846,0,1,.000,6,6,1.000,.841,2,1,3,3,2,0,1,4,28,25.8,20.1,G-F,bryanko01
347,Kobe Bryant,2001-11-25,23-094,LAL,,DEN,W 105-98,1,40,10,19,.526,10,18,.556,0,1,.000,5,7,.714,.566,0,7,7,7,2,0,1,1,25,22.5,4.3,G-F,bryanko01
348,Kobe Bryant,2001-11-27,23-096,LAL,,MIL,W 104-85,1,39,11,23,.478,8,19,.421,3,4,.750,8,10,.800,.602,4,4,8,4,1,1,1,4,33,26.4,14.7,G-F,bryanko01
349,Kobe Bryant,2001-11-30,23-099,LAL,@,SEA,W 107-92,1,34,10,19,.526,10,15,.667,0,4,.000,10,11,.909,.629,1,2,3,3,1,0,3,4,30,20.1,3.4,G-F,bryanko01
350,Kobe Bryant,2001-12-01,23-100,LAL,,MIN,W 102-76,1,27,6,15,.400,5,14,.357,1,1,1.000,5,6,.833,.510,0,3,3,5,2,0,0,1,18,15.5,10.6,G-F,bryanko01
351,Kobe Bryant,2001-12-05,23-104,LAL,,DAL,W 98-94,1,42,9,23,.391,9,21,.429,0,2,.000,1,2,.500,.398,2,7,9,5,3,0,4,1,19,11.7,0.5,G-F,bryanko01
352,Kobe Bryant,2001-12-07,23-106,LAL,@,SAC,L 91-97,1,41,9,23,.391,9,19,.474,0,4,.000,5,5,1.000,.456,2,4,6,3,0,0,2,3,23,12.0,-0.2,G-F,bryanko01
353,Kobe Bryant,2001-12-11,23-110,LAL,,SEA,L 93-104,1,38,7,23,.304,7,20,.350,0,3,.000,2,3,.667,.329,1,2,3,1,0,0,1,5,16,1.3,-13.1,G-F,bryanko01
354,Kobe Bryant,2001-12-14,23-113,LAL,,LAC,W 110-80,1,38,9,18,.500,9,17,.529,0,1,.000,7,7,1.000,.593,0,4,4,7,3,2,3,3,25,22.3,11.1,G-F,bryanko01
355,Kobe Bryant,2001-12-16,23-115,LAL,,GSW,W 101-85,1,32,10,12,.833,10,11,.909,0,1,.000,8,9,.889,.877,0,5,5,3,2,1,1,2,28,27.7,19.9,G-F,bryanko01
356,Kobe Bryant,2001-12-20,23-119,LAL,@,HOU,W 107-101,1,42,9,26,.346,8,25,.320,1,1,1.000,8,8,1.000,.457,2,3,5,5,1,1,2,3,27,16.7,-0.6,G-F,bryanko01
357,Kobe Bryant,2001-12-21,23-120,LAL,@,MEM,L 108-114,1,37,15,23,.652,14,19,.737,1,4,.250,5,5,1.000,.714,0,4,4,6,0,0,3,3,36,27.1,10.6,G-F,bryanko01
358,Kobe Bryant,2001-12-25,23-124,LAL,,PHI,W 88-82,1,42,6,19,.316,6,17,.353,0,2,.000,0,0,,.316,0,11,11,9,0,0,3,1,12,7.3,-3.9,G-F,bryanko01
359,Kobe Bryant,2001-12-26,23-125,LAL,@,GSW,L 90-101,1,41,17,28,.607,14,21,.667,3,7,.429,2,2,1.000,.675,0,2,2,5,1,0,3,3,39,27.1,14.1,G-F,bryanko01
360,Kobe Bryant,2001-12-28,23-127,LAL,,TOR,L 86-89,1,40,9,24,.375,7,21,.333,2,3,.667,6,9,.667,.465,2,6,8,6,1,0,5,1,26,14.6,4.6,G-F,bryanko01
361,Kobe Bryant,2001-12-30,23-129,LAL,,HOU,W 114-90,1,31,7,17,.412,7,15,.467,0,2,.000,2,2,1.000,.447,0,2,2,11,0,0,1,2,16,13.4,0.5,G-F,bryanko01
362,Kobe Bryant,2002-01-02,23-132,LAL,@,DEN,W 87-86,1,36,11,22,.500,11,22,.500,0,0,,6,7,.857,.558,3,5,8,3,3,0,3,2,28,21.5,9.2,G-F,bryanko01
363,Kobe Bryant,2002-01-04,23-134,LAL,,PHO,W 118-86,1,30,7,15,.467,7,14,.500,0,1,.000,4,5,.800,.523,0,3,3,6,0,1,3,3,18,11.5,-1.0,G-F,bryanko01
364,Kobe Bryant,2002-01-06,23-136,LAL,@,TOR,W 109-89,1,36,12,20,.600,12,20,.600,0,0,,7,9,.778,.647,3,4,7,2,3,0,4,2,31,23.9,7.5,G-F,bryanko01
365,Kobe Bryant,2002-01-08,23-138,LAL,@,DET,W 121-92,1,28,8,17,.471,8,16,.500,0,1,.000,4,4,1.000,.533,2,2,4,6,1,0,0,3,20,17.3,7.2,G-F,bryanko01
366,Kobe Bryant,2002-01-09,23-139,LAL,@,IND,W 109-90,1,35,11,22,.500,10,21,.476,1,1,1.000,8,14,.571,.550,2,6,8,4,3,0,3,2,31,22.8,7.5,G-F,bryanko01
367,Kobe Bryant,2002-01-11,23-141,LAL,@,MIN,L 102-120,1,38,9,27,.333,9,25,.360,0,2,.000,5,6,.833,.388,1,2,3,5,0,0,2,3,23,8.9,-8.1,G-F,bryanko01
368,Kobe Bryant,2002-01-12,23-142,LAL,@,CHI,L 104-106 (OT),1,47,9,25,.360,9,23,.391,0,2,.000,8,11,.727,.436,3,2,5,9,3,0,7,5,26,13.9,-4.3,G-F,bryanko01
369,Kobe Bryant,2002-01-14,23-144,LAL,,MEM,W 120-81,1,34,21,34,.618,18,28,.643,3,6,.500,11,12,.917,.713,3,2,5,4,1,0,0,1,56,46.3,26.8,G-F,bryanko01
370,Kobe Bryant,2002-01-16,23-146,LAL,,MIA,L 96-102,1,40,12,30,.400,12,27,.444,0,3,.000,5,7,.714,.438,4,4,8,7,1,0,3,2,29,18.1,2.8,G-F,bryanko01
371,Kobe Bryant,2002-01-19,23-149,LAL,@,SAS,W 98-81,1,38,11,25,.440,10,23,.435,1,2,.500,5,7,.714,.499,2,5,7,5,2,1,1,1,28,21.8,11.4,G-F,bryanko01
372,Kobe Bryant,2002-01-22,23-152,LAL,,DEN,L 91-107,1,39,6,14,.429,6,12,.500,0,2,.000,3,3,1.000,.490,0,7,7,6,2,0,5,4,15,9.3,-4.6,G-F,bryanko01
373,Kobe Bryant,2002-01-23,23-153,LAL,@,LAC,L 90-95,1,39,11,25,.440,11,23,.478,0,2,.000,5,6,.833,.488,0,2,2,4,1,1,0,3,27,17.4,5.5,G-F,bryanko01
374,Kobe Bryant,2002-01-25,23-155,LAL,,SAS,W 94-91,1,40,9,19,.474,9,19,.474,0,0,,9,9,1.000,.588,0,3,3,6,0,0,3,4,27,17.8,4.6,G-F,bryanko01
375,Kobe Bryant,2002-01-27,23-157,LAL,@,PHI,L 87-93,1,37,8,17,.471,8,17,.471,0,0,,4,5,.800,.521,1,1,2,3,1,1,1,4,20,13.1,4.1,G-F,bryanko01
376,Kobe Bryant,2002-01-29,23-159,LAL,@,ATL,W 127-93,1,27,13,20,.650,13,19,.684,0,1,.000,6,6,1.000,.707,3,1,4,2,0,0,2,3,32,23.8,6.6,G-F,bryanko01
377,Kobe Bryant,2002-01-30,23-160,LAL,@,ORL,W 111-93,1,45,9,23,.391,9,22,.409,0,1,.000,5,8,.625,.434,2,6,8,4,1,0,2,1,23,13.9,-1.5,G-F,bryanko01
378,Kobe Bryant,2002-02-01,23-162,LAL,@,MEM,W 100-85,1,37,5,13,.385,5,11,.455,0,2,.000,3,4,.750,.440,1,3,4,6,2,0,3,2,13,9.5,-6.3,G-F,bryanko01
379,Kobe Bryant,2002-02-03,23-164,LAL,@,DAL,W 101-94,1,40,11,25,.440,11,23,.478,0,2,.000,2,2,1.000,.464,2,8,10,6,2,1,2,5,24,17.6,6.5,G-F,bryanko01
380,Kobe Bryant,2002-02-06,23-167,LAL,,CHI,L 89-97,1,41,14,26,.538,13,24,.542,1,2,.500,9,10,.900,.625,3,5,8,1,1,2,8,2,38,22.9,7.0,G-F,bryanko01
381,Kobe Bryant,2002-02-12,23-173,LAL,,WAS,W 103-94,1,43,9,20,.450,9,19,.474,0,1,.000,5,9,.556,.480,1,10,11,15,1,1,2,3,23,23.7,8.4,G-F,bryanko01
382,Kobe Bryant,2002-02-14,23-175,LAL,@,SEA,W 92-87,1,42,8,21,.381,8,21,.381,0,0,,7,10,.700,.453,4,3,7,10,2,1,1,2,23,21.9,9.8,G-F,bryanko01
383,Kobe Bryant,2002-02-15,23-176,LAL,,ATL,L 90-93,1,42,7,13,.538,7,12,.583,0,1,.000,7,11,.636,.589,1,1,2,10,2,1,6,2,21,17.0,3.8,G-F,bryanko01
384,Kobe Bryant,2002-02-17,23-178,LAL,@,POR,L 105-111,1,43,11,26,.423,11,22,.500,0,4,.000,6,6,1.000,.489,2,3,5,2,1,1,3,5,28,14.6,-5.2,G-F,bryanko01
385,Kobe Bryant,2002-02-19,23-180,LAL,,BOS,L 108-109,1,41,11,25,.440,10,23,.435,1,2,.500,4,5,.800,.496,2,2,4,9,1,0,2,5,27,18.8,0.2,G-F,bryanko01
386,Kobe Bryant,2002-02-21,23-182,LAL,@,CLE,W 104-97,1,40,13,24,.542,13,23,.565,0,1,.000,6,11,.545,.555,1,5,6,6,2,0,2,3,32,23.6,7.2,G-F,bryanko01
387,Kobe Bryant,2002-02-22,23-183,LAL,@,CHH,W 96-94,1,44,8,19,.421,8,16,.500,0,3,.000,5,6,.833,.485,4,5,9,6,3,1,5,3,21,16.5,3.6,G-F,bryanko01
388,Kobe Bryant,2002-02-24,23-185,LAL,@,NYK,W 107-91,1,42,10,18,.556,9,17,.529,1,1,1.000,6,6,1.000,.654,2,4,6,5,3,0,3,3,27,23.3,8.2,G-F,bryanko01
389,Kobe Bryant,2002-02-26,23-187,LAL,@,MIL,W 99-89,1,39,13,25,.520,13,23,.565,0,2,.000,1,1,1.000,.531,2,2,4,6,1,0,2,2,27,19.1,5.9,G-F,bryanko01
390,Kobe Bryant,2002-02-27,23-188,LAL,@,MIN,L 101-112,1,42,8,25,.320,8,25,.320,0,0,,4,4,1.000,.374,1,4,5,11,0,0,2,4,20,11.7,-7.2,G-F,bryanko01
391,Kobe Bryant,2002-03-01,23-190,LAL,,IND,W 96-84,1,37,8,17,.471,8,16,.500,0,1,.000,9,12,.750,.561,0,3,3,3,1,1,5,2,25,14.0,-0.2,G-F,bryanko01
392,Kobe Bryant,2002-03-06,23-195,LAL,@,UTA,L 84-92,1,39,7,19,.368,6,16,.375,1,3,.333,11,12,.917,.535,3,2,5,4,2,0,5,3,26,16.4,6.4,G-F,bryanko01
393,Kobe Bryant,2002-03-10,23-199,LAL,,NYK,W 117-103,1,44,7,14,.500,7,12,.583,0,2,.000,4,4,1.000,.571,0,2,2,7,0,1,1,5,18,14.2,-1.8,G-F,bryanko01
394,Kobe Bryant,2002-03-12,23-201,LAL,,CHH,W 107-66,1,31,8,17,.471,8,16,.500,0,1,.000,7,10,.700,.537,1,6,7,4,4,0,1,1,23,21.0,15.0,G-F,bryanko01
395,Kobe Bryant,2002-03-14,23-203,LAL,@,GSW,W 110-102,1,40,7,14,.500,7,14,.500,0,0,,7,8,.875,.599,3,4,7,6,0,1,3,4,21,17.2,2.8,G-F,bryanko01
396,Kobe Bryant,2002-03-15,23-204,LAL,,LAC,W 98-92,1,38,12,26,.462,10,24,.417,2,2,1.000,7,10,.700,.543,0,3,3,2,3,0,1,3,33,21.5,7.2,G-F,bryanko01
397,Kobe Bryant,2002-03-17,23-206,LAL,,DAL,W 105-103,1,41,5,14,.357,4,13,.308,1,1,1.000,3,3,1.000,.457,0,9,9,11,1,0,1,1,14,16.2,2.7,G-F,bryanko01
398,Kobe Bryant,2002-03-19,23-208,LAL,@,DAL,L 98-114,1,35,4,18,.222,4,16,.250,0,2,.000,4,7,.571,.285,0,8,8,3,0,0,1,5,12,1.3,-12.0,G-F,bryanko01
399,Kobe Bryant,2002-03-20,23-209,LAL,@,SAS,L 90-108,1,28,9,16,.563,9,16,.563,0,0,,2,4,.500,.563,1,0,1,0,0,0,7,3,20,4.1,-10.3,G-F,bryanko01
400,Kobe Bryant,2002-03-22,23-211,LAL,,DET,W 94-82,1,36,8,17,.471,8,17,.471,0,0,,2,2,1.000,.503,2,5,7,7,4,0,2,4,18,17.5,10.2,G-F,bryanko01
401,Kobe Bryant,2002-03-24,23-213,LAL,@,SAC,W 97-96,1,38,12,21,.571,12,20,.600,0,1,.000,5,8,.625,.591,0,4,4,4,2,0,5,3,29,17.7,3.6,G-F,bryanko01
402,Kobe Bryant,2002-03-26,23-215,LAL,,CLE,W 121-116,1,31,7,10,.700,6,8,.750,1,2,.500,2,3,.667,.751,2,5,7,3,0,0,0,2,17,16.6,4.4,G-F,bryanko01
403,Kobe Bryant,2002-03-27,23-216,LAL,@,PHO,L 106-118,1,40,9,20,.450,9,19,.474,0,1,.000,18,20,.900,.625,3,1,4,3,0,0,5,1,36,23.9,3.5,G-F,bryanko01
404,Kobe Bryant,2002-03-29,23-218,LAL,,POR,W 91-79,1,41,12,26,.462,12,25,.480,0,1,.000,10,11,.909,.551,0,7,7,6,2,0,0,3,34,27.3,15.0,G-F,bryanko01
405,Kobe Bryant,2002-03-31,23-220,LAL,,SAS,W 96-95,1,47,11,24,.458,11,24,.458,0,0,,9,9,1.000,.554,2,7,9,3,1,1,6,4,31,18.3,1.0,G-F,bryanko01
406,Kobe Bryant,2002-04-02,23-222,LAL,@,WAS,W 113-93,1,33,6,13,.462,6,13,.462,0,0,,2,2,1.000,.504,0,2,2,6,1,0,4,3,14,7.9,-6.2,G-F,bryanko01
407,Kobe Bryant,2002-04-03,23-223,LAL,@,NJN,L 92-94,1,44,14,30,.467,14,29,.483,0,1,.000,5,5,1.000,.512,2,2,4,3,1,0,3,1,33,19.3,3.9,G-F,bryanko01
408,Kobe Bryant,2002-04-05,23-225,LAL,@,BOS,L 81-99,1,38,5,25,.200,5,23,.217,0,2,.000,16,18,.889,.395,0,6,6,2,1,1,2,4,26,11.0,-0.1,G-F,bryanko01
409,Kobe Bryant,2002-04-07,23-227,LAL,@,MIA,W 96-88,1,38,8,12,.667,8,12,.667,0,0,,3,3,1.000,.713,2,9,11,4,0,0,2,2,19,17.9,3.8,G-F,bryanko01
410,Kobe Bryant,2002-04-09,23-229,LAL,,UTA,W 112-82,1,34,8,16,.500,8,16,.500,0,0,,6,7,.857,.577,0,4,4,5,1,2,4,3,22,15.5,0.6,G-F,bryanko01
411,Kobe Bryant,2002-04-11,23-231,LAL,,MIN,W 96-83,1,38,9,20,.450,9,19,.474,0,1,.000,10,10,1.000,.574,1,2,3,2,0,0,2,5,28,16.3,3.1,G-F,bryanko01
412,Kobe Bryant,2002-04-14,23-234,LAL,@,POR,L 120-128 (2OT),1,51,6,15,.400,6,13,.462,0,2,.000,11,14,.786,.543,0,7,7,9,3,2,6,4,23,18.9,3.3,G-F,bryanko01
413,Kobe Bryant,2002-04-15,23-235,LAL,,SEA,W 111-104,1,31,7,16,.438,6,13,.462,1,3,.333,4,4,1.000,.535,1,4,5,4,2,0,3,4,19,12.7,-0.1,G-F,bryanko01
414,Kobe Bryant,2002-04-17,23-237,LAL,,SAC,W 109-95,1,29,9,17,.529,9,13,.692,0,4,.000,3,3,1.000,.573,0,4,4,5,1,0,2,1,21,16.0,6.3,G-F,bryanko01
415,Kobe Bryant,2002-10-29,24-067,LAL,,SAS,L 82-87,1,43,9,29,.310,8,27,.296,1,2,.500,8,12,.667,.394,5,5,10,5,4,2,6,3,27,15.4,8.8,G-F,bryanko01
416,Kobe Bryant,2002-10-30,24-068,LAL,@,POR,L 90-102,1,37,9,18,.500,6,11,.545,3,7,.429,4,4,1.000,.633,1,9,10,2,2,2,3,3,25,20.0,9.3,G-F,bryanko01
417,Kobe Bryant,2002-11-01,24-070,LAL,@,LAC,W 108-93,1,41,12,18,.667,11,16,.688,1,2,.500,8,8,1.000,.767,5,10,15,12,2,1,4,3,33,37.6,19.9,G-F,bryanko01
418,Kobe Bryant,2002-11-03,24-072,LAL,,POR,W 98-95 (OT),1,50,11,19,.579,9,13,.692,2,6,.333,9,11,.818,.692,5,9,14,12,1,0,4,5,33,32.9,14.6,G-F,bryanko01
419,Kobe Bryant,2002-11-05,24-074,LAL,@,CLE,L 70-89,1,41,5,13,.385,4,12,.333,1,1,1.000,4,4,1.000,.508,3,10,13,9,2,0,5,2,15,15.5,3.2,G-F,bryanko01
420,Kobe Bryant,2002-11-07,24-076,LAL,@,BOS,L 95-98 (OT),1,46,17,47,.362,17,39,.436,0,8,.000,7,7,1.000,.409,2,7,9,4,4,0,5,3,41,19.0,3.3,G-F,bryanko01
421,Kobe Bryant,2002-11-08,24-077,LAL,@,WAS,L 99-100,1,38,8,21,.381,8,21,.381,0,0,,11,11,1.000,.522,1,5,6,4,0,2,2,5,27,17.9,1.4,G-F,bryanko01
422,Kobe Bryant,2002-11-12,24-081,LAL,,ATL,L 83-95,1,45,8,22,.364,8,20,.400,0,2,.000,5,7,.714,.419,4,2,6,8,4,1,2,2,21,18.9,5.8,G-F,bryanko01
423,Kobe Bryant,2002-11-15,24-084,LAL,,GSW,W 96-89 (OT),1,46,18,40,.450,17,37,.459,1,3,.333,8,10,.800,.507,0,4,4,4,3,1,1,3,45,28.9,14.8,G-F,bryanko01
424,Kobe Bryant,2002-11-17,24-086,LAL,,HOU,L 89-93,1,45,18,37,.486,17,35,.486,1,2,.500,9,11,.818,.550,0,6,6,4,0,1,3,3,46,27.6,10.3,G-F,bryanko01
425,Kobe Bryant,2002-11-19,24-088,LAL,@,DAL,L 72-98,1,33,7,21,.333,7,20,.350,0,1,.000,2,4,.500,.351,1,4,5,3,3,0,5,2,16,4.5,-1.3,G-F,bryanko01
426,Kobe Bryant,2002-11-20,24-089,LAL,@,SAS,L 88-95,1,43,8,25,.320,8,23,.348,0,2,.000,8,12,.667,.396,1,7,8,7,4,1,1,1,24,19.1,8.8,G-F,bryanko01
427,Kobe Bryant,2002-11-22,24-091,LAL,,CHI,W 86-73,1,39,7,14,.500,6,11,.545,1,3,.333,6,11,.545,.557,2,8,10,7,5,1,6,1,21,20.0,11.0,G-F,bryanko01
428,Kobe Bryant,2002-11-24,24-093,LAL,,MIL,W 111-99,1,44,6,15,.400,6,12,.500,0,3,.000,3,3,1.000,.460,2,9,11,11,1,0,2,3,15,16.5,-0.3,G-F,bryanko01
429,Kobe Bryant,2002-11-26,24-095,LAL,@,MIA,L 85-97,1,32,8,14,.571,7,10,.700,1,4,.250,4,7,.571,.615,1,6,7,4,3,0,2,3,21,18.3,11.8,G-F,bryanko01
430,Kobe Bryant,2002-11-27,24-096,LAL,@,ORL,L 102-112,1,46,14,31,.452,14,31,.452,0,0,,10,13,.769,.517,2,8,10,4,1,2,3,5,38,24.7,3.0,G-F,bryanko01
431,Kobe Bryant,2002-11-29,24-098,LAL,@,MEM,W 112-106 (OT),1,48,18,35,.514,16,31,.516,2,4,.500,7,9,.778,.578,1,5,6,5,2,0,5,0,45,29.6,7.8,G-F,bryanko01
432,Kobe Bryant,2002-12-01,24-100,LAL,,MIN,L 107-110,1,41,9,15,.600,8,12,.667,1,3,.333,3,5,.600,.640,2,3,5,11,0,1,5,1,22,19.6,5.5,G-F,bryanko01
433,Kobe Bryant,2002-12-03,24-102,LAL,,MEM,W 101-91,1,41,11,16,.688,10,14,.714,1,2,.500,1,1,1.000,.730,2,8,10,11,1,3,3,1,24,28.4,13.3,G-F,bryanko01
434,Kobe Bryant,2002-12-04,24-103,LAL,@,UTA,L 85-93,1,41,5,14,.357,5,12,.417,0,2,.000,7,7,1.000,.498,1,4,5,5,3,0,5,1,17,12.2,2.9,G-F,bryanko01
435,Kobe Bryant,2002-12-06,24-105,LAL,,DAL,W 105-103,1,42,10,19,.526,9,17,.529,1,2,.500,6,6,1.000,.624,1,8,9,7,1,1,6,3,27,20.2,4.3,G-F,bryanko01
436,Kobe Bryant,2002-12-08,24-107,LAL,,UTA,W 110-101,1,39,9,18,.500,9,17,.529,0,1,.000,7,9,.778,.569,0,4,4,14,5,0,5,4,25,24.6,12.7,G-F,bryanko01
437,Kobe Bryant,2002-12-10,24-109,LAL,@,GSW,L 102-106,1,42,6,12,.500,5,11,.455,1,1,1.000,6,7,.857,.630,0,5,5,14,3,0,5,5,19,19.9,6.3,G-F,bryanko01
438,Kobe Bryant,2002-12-13,24-112,LAL,,NOH,L 82-98,1,43,6,16,.375,6,16,.375,0,0,,4,6,.667,.429,0,2,2,5,1,0,2,1,16,9.1,-0.6,G-F,bryanko01
439,Kobe Bryant,2002-12-15,24-114,LAL,,ORL,W 107-84,1,34,6,15,.400,6,14,.429,0,1,.000,9,9,1.000,.554,1,5,6,8,0,2,8,3,21,12.9,-1.4,G-F,bryanko01
440,Kobe Bryant,2002-12-17,24-116,LAL,@,MIN,L 80-96,1,39,6,14,.429,6,14,.429,0,0,,3,4,.750,.476,2,5,7,6,1,1,2,3,15,12.8,2.4,G-F,bryanko01
441,Kobe Bryant,2002-12-19,24-118,LAL,@,NJN,L 71-98,1,43,8,29,.276,8,28,.286,0,1,.000,5,5,1.000,.337,1,4,5,5,1,1,4,2,21,6.2,-0.4,G-F,bryanko01
442,Kobe Bryant,2002-12-20,24-119,LAL,@,PHI,L 104-107 (OT),1,51,16,35,.457,14,30,.467,2,5,.400,10,10,1.000,.558,0,4,4,10,1,2,5,4,44,29.9,10.5,G-F,bryanko01
443,Kobe Bryant,2002-12-22,24-121,LAL,@,TOR,W 109-107 (OT),1,46,12,25,.480,10,23,.435,2,2,1.000,5,8,.625,.543,0,2,2,5,2,1,5,3,31,17.7,-0.3,G-F,bryanko01
444,Kobe Bryant,2002-12-25,24-124,LAL,,SAC,L 99-105,1,46,7,24,.292,6,20,.300,1,4,.250,12,15,.800,.441,6,9,15,6,2,1,6,3,27,18.4,3.3,G-F,bryanko01
445,Kobe Bryant,2002-12-28,24-127,LAL,@,DEN,W 112-93,1,35,15,26,.577,13,22,.591,2,4,.500,7,7,1.000,.671,0,6,6,6,2,0,4,3,39,29.6,8.1,G-F,bryanko01
446,Kobe Bryant,2002-12-29,24-128,LAL,,TOR,W 104-88,1,35,5,15,.333,5,14,.357,0,1,.000,3,3,1.000,.398,1,8,9,12,2,1,3,3,13,14.5,2.9,G-F,bryanko01
447,Kobe Bryant,2003-01-04,24-134,LAL,@,PHO,L 93-107,1,42,15,32,.469,15,24,.625,0,8,.000,7,9,.778,.514,0,7,7,7,4,2,2,3,37,29.0,17.5,G-F,bryanko01
448,Kobe Bryant,2003-01-05,24-135,LAL,,PHO,W 109-97,1,46,13,29,.448,12,24,.500,1,5,.200,4,6,.667,.490,3,9,12,7,2,1,1,1,31,26.1,8.2,G-F,bryanko01
449,Kobe Bryant,2003-01-07,24-137,LAL,,SEA,W 119-98,1,37,16,28,.571,4,10,.400,12,18,.667,1,1,1.000,.791,0,3,3,3,1,1,2,2,45,33.7,19.2,G-F,bryanko01
