"","Date","Opp","Result","GS","MP","FG","FGA","TwoP","TwoPA","ThreeP","ThreePA","FT","FTA","FTper","TSper","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","BPM"
"4","1996-11-08","TOR","L 92-93",FALSE,17,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-1.88,-0.959]","(-1.83,-0.244]","[-0.995,0.398]","(-0.679,0.399]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","[-2.37,-0.793]","(-0.439,0.949]"
"11","1996-11-20","UTA","L 97-113",FALSE,21,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","(0.677,2.29]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","[-3.71,-2.79]","(2.92,4.51]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","[-2.37,-0.793]","(-0.439,0.949]"
"12","1996-11-26","PHI","W 100-88",FALSE,21,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","[-2.37,-0.793]","(-1.83,-0.439]"
"13","1996-11-27","BOS","L 94-110",FALSE,20,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","[-3.71,-2.79]","[-3.42,-1.83]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","[-2.37,-0.793]","[-3.22,-1.83]"
"17","1996-12-08","MIN","W 110-86",FALSE,22,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-1.83,-0.244]","(0.398,1.78]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","(-0.069,1.01]","(0.68,2]","(-0.45,0.723]","(-0.958,-0.102]","[-2.37,-0.793]","(-1.83,-0.439]"
"25","1997-01-03","SAC","W 100-93",FALSE,22,"(-0.9,0.593]","[-2.92,-1.46]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(1.34,2.92]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","(-0.069,1.01]","(0.68,2]","[-1.63,-0.45]","[-1.82,-0.958]","(-0.793,0.779]","(2.34,3.73]"
"26","1997-01-05","VAN","W 95-82",FALSE,29,"(-0.9,0.593]","[-2.92,-1.46]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.959,-0.0421]","(1.34,2.92]","(0.398,1.78]","[-1.76,-0.679]","(-0.794,0.373]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","[-2.37,-0.793]","(-0.439,0.949]"
"27","1997-01-06","POR","L 84-88",FALSE,23,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-1.88,-0.959]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","(-0.069,1.01]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","[-2.37,-0.793]","(-1.83,-0.439]"
"28","1997-01-08","CHH","W 101-97",FALSE,22,"[-2.4,-0.9]","(-1.46,-0.00504]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-1.88,-0.959]","[-3.42,-1.83]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","(-0.069,1.01]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","[-2.37,-0.793]","(-1.83,-0.439]"
"31","1997-01-18","DET","L 97-100 (2OT)",FALSE,32,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","(0.677,2.29]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(1.34,2.92]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","(-0.793,0.779]","(0.949,2.34]"
"33","1997-01-24","GSW","W 114-97",FALSE,25,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(1.34,2.92]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.958,-0.102]","[-2.37,-0.793]","(-0.439,0.949]"
"34","1997-01-26","SEA","W 104-103",FALSE,17,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","[-3.71,-2.79]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","[-2.37,-0.793]","(-1.83,-0.439]"
"35","1997-01-28","DAL","W 102-83",TRUE,32,"[-2.4,-0.9]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.959,-0.0421]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","(-0.069,1.01]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","[-2.37,-0.793]","(-1.83,-0.439]"
"36","1997-01-29","SAS","W 99-92",TRUE,30,"(-0.9,0.593]","(-1.46,-0.00504]","[-2.17,-0.964]","[-2.56,-1.29]","(0.677,2.29]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","(-0.069,1.01]","(0.68,2]","(-0.45,0.723]","(-0.958,-0.102]","(-0.793,0.779]","(-0.439,0.949]"
"37","1997-02-02","WSB","W 129-99",FALSE,24,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","(-0.679,0.399]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","[-2.37,-0.793]","(-1.83,-0.439]"
"38","1997-02-04","LAC","L 86-108",FALSE,23,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","[-3.42,-1.83]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","(-0.069,1.01]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","[-2.37,-0.793]","[-3.22,-1.83]"
"41","1997-02-13","DEN","W 132-117",FALSE,20,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","[-3.71,-2.79]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","[-2.37,-0.793]","(-1.83,-0.439]"
"43","1997-02-19","CLE","L 84-103",TRUE,23,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","(0.68,2]","[-1.63,-0.45]","(-0.102,0.753]","[-2.37,-0.793]","(-0.439,0.949]"
"47","1997-03-02","IND","L 85-101",FALSE,21,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","[-2.37,-0.793]","(-1.83,-0.439]"
"49","1997-03-07","HOU","L 90-111",FALSE,17,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","[-2.37,-0.793]","[-3.22,-1.83]"
"50","1997-03-09","NJN","W 115-105",FALSE,26,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","[-1.71,-0.504]","(-0.0421,0.879]","(1.34,2.92]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","(-0.069,1.01]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","[-2.37,-0.793]","(-0.439,0.949]"
"51","1997-03-12","GSW","W 109-101",FALSE,18,"(-0.9,0.593]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","(0.677,2.29]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.959,-0.0421]","(1.34,2.92]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","(1.01,2.1]","[-0.65,0.68]","(-0.45,0.723]","(0.753,1.61]","(-0.793,0.779]","(0.949,2.34]"
"52","1997-03-14","LAC","L 95-97",FALSE,26,"(-0.9,0.593]","(-1.46,-0.00504]","[-2.17,-0.964]","(-1.29,-0.0334]","(0.677,2.29]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-1.88,-0.959]","(-0.244,1.34]","(0.398,1.78]","[-1.76,-0.679]","(-0.794,0.373]","[-1.76,-0.517]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","[-2.37,-0.793]","(-0.439,0.949]"
"53","1997-03-16","TOR","W 98-90 (OT)",FALSE,23,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","[-2.37,-0.793]","(-1.83,-0.439]"
"57","1997-03-23","ORL","L 84-110",FALSE,19,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","[-2.37,-0.793]","(-1.83,-0.439]"
"59","1997-03-26","MIL","W 106-84",TRUE,32,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.959,-0.0421]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(-0.517,0.715]","(-0.069,1.01]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
"60","1997-03-27","VAN","W 102-98 (OT)",TRUE,43,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","(1.78,3.17]","(-0.679,0.399]","(0.373,1.54]","(-0.517,0.715]","(1.01,2.1]","[-0.65,0.68]","(-0.45,0.723]","(-0.102,0.753]","(-0.793,0.779]","(-0.439,0.949]"
"62","1997-04-02","DEN","W 110-85",FALSE,16,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","[-2.37,-0.793]","(-1.83,-0.439]"
"63","1997-04-04","SAS","L 83-94",FALSE,17,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(1.34,2.92]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.958,-0.102]","[-2.37,-0.793]","(-0.439,0.949]"
"64","1997-04-06","DAL","W 87-80",FALSE,22,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","[-2.37,-0.793]","(-0.439,0.949]"
"65","1997-04-08","GSW","W 109-85",FALSE,25,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","(-0.504,0.694]","(-1.88,-0.959]","(1.34,2.92]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(0.723,1.9]","(-0.102,0.753]","(-0.793,0.779]","(-0.439,0.949]"
"66","1997-04-09","UTA","L 89-101",FALSE,33,"[-2.4,-0.9]","(-1.46,-0.00504]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","(-0.504,0.694]","(-0.959,-0.0421]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","[-2.37,-0.793]","(-1.83,-0.439]"
"67","1997-04-11","PHO","W 114-98",TRUE,28,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","[-3.71,-2.79]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","[-2.37,-0.793]","(-1.83,-0.439]"
"68","1997-04-13","UTA","W 100-98",FALSE,16,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(1.34,2.92]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","[-2.37,-0.793]","(0.949,2.34]"
"69","1997-04-17","SAC","W 108-99",FALSE,16,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-1.88,-0.959]","[-3.42,-1.83]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.958,-0.102]","[-2.37,-0.793]","[-3.22,-1.83]"
"70","1997-04-18","LAC","W 123-95",FALSE,15,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.959,-0.0421]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","[-2.37,-0.793]","(-1.83,-0.439]"
"72","1997-10-31","UTA","W 104-87",FALSE,33,"[-2.4,-0.9]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","[-1.97,-0.794]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
"73","1997-11-04","SAC","W 101-98",FALSE,21,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","[-3.71,-2.79]","[-3.42,-1.83]","(0.398,1.78]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","(-0.069,1.01]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","[-2.37,-0.793]","(-1.83,-0.439]"
"74","1997-11-07","NYK","W 99-94",FALSE,20,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.959,-0.0421]","[-3.42,-1.83]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","[-2.37,-0.793]","[-3.22,-1.83]"
"75","1997-11-09","GSW","W 132-97",FALSE,24,"(-0.9,0.593]","(-1.46,-0.00504]","(0.234,1.43]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-1.88,-0.959]","(-0.244,1.34]","(0.398,1.78]","[-1.76,-0.679]","[-1.97,-0.794]","(-0.517,0.715]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","(-0.793,0.779]","(0.949,2.34]"
"76","1997-11-16","VAN","W 121-95",FALSE,16,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","[-2.37,-0.793]","(-1.83,-0.439]"
"77","1997-11-18","UTA","W 97-92",FALSE,29,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","[-1.16,-0.069]","(0.68,2]","[-1.63,-0.45]","(-0.958,-0.102]","(-0.793,0.779]","(-0.439,0.949]"
"78","1997-11-19","MIN","W 118-93",FALSE,34,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","[-1.97,-0.794]","[-1.76,-0.517]","(-0.069,1.01]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","(-0.793,0.779]","(-1.83,-0.439]"
"79","1997-11-23","LAC","W 119-102",FALSE,29,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-1.83,-0.244]","(0.398,1.78]","[-1.76,-0.679]","(-0.794,0.373]","(-0.517,0.715]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","(-0.793,0.779]","(-0.439,0.949]"
"80","1997-11-25","MIA","L 86-103",FALSE,27,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","[-3.71,-2.79]","(-1.83,-0.244]","(0.398,1.78]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","[-2.37,-0.793]","(-1.83,-0.439]"
"81","1997-11-26","BOS","W 118-103",FALSE,28,"[-2.4,-0.9]","(-1.46,-0.00504]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","(-0.504,0.694]","(-2.79,-1.88]","(-1.83,-0.244]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(1.9,3.07]","[-1.82,-0.958]","[-2.37,-0.793]","[-3.22,-1.83]"
"82","1997-11-28","PHI","L 95-105",FALSE,23,"(-0.9,0.593]","(-1.46,-0.00504]","[-2.17,-0.964]","[-2.56,-1.29]","(0.677,2.29]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-2.79,-1.88]","(1.34,2.92]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(0.753,1.61]","(-0.793,0.779]","(-1.83,-0.439]"
"83","1997-11-30","TOR","W 105-99",FALSE,19,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","[-2.37,-0.793]","[-3.22,-1.83]"
"84","1997-12-03","DEN","W 107-89",FALSE,24,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.959,-0.0421]","(-1.83,-0.244]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","(0.68,2]","[-1.63,-0.45]","[-1.82,-0.958]","[-2.37,-0.793]","(-1.83,-0.439]"
"85","1997-12-05","SAS","W 98-88",FALSE,27,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","[-2.37,-0.793]","(0.949,2.34]"
"86","1997-12-07","CLE","L 84-94",FALSE,29,"[-2.4,-0.9]","(-1.46,-0.00504]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(1.61,2.47]","(-0.793,0.779]","(-0.439,0.949]"
"87","1997-12-08","POR","L 99-105",FALSE,25,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.959,-0.0421]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.102,0.753]","(-0.793,0.779]","(-1.83,-0.439]"
"88","1997-12-10","GSW","L 92-93",FALSE,30,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","(-0.504,0.694]","(-1.88,-0.959]","(-0.244,1.34]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
