"","Date","Opp","Result","GS","MP","FG","FGA","TwoP","TwoPA","ThreeP","ThreePA","FT","FTA","FTper","TSper","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","BPM"
"699","2006-03-31","SEA","W 106-93",TRUE,46,"(2.09,3.58]","(1.45,2.91]","(1.43,2.63]","(2.49,3.75]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(0.723,1.9]","(-0.102,0.753]","(0.779,2.35]","(-1.83,-0.439]"
"700","2006-04-02","HOU","W 104-88",TRUE,36,"(2.09,3.58]","(1.45,2.91]","(1.43,2.63]","(1.23,2.49]","(0.677,2.29]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","(0.779,2.35]","(0.949,2.34]"
"701","2006-04-06","DEN","L 108-110 (OT)",TRUE,46,"(0.593,2.09]","(1.45,2.91]","(0.234,1.43]","(1.23,2.49]","(0.677,2.29]","(-0.00954,1.44]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","(-0.679,0.399]","(0.373,1.54]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(1.61,2.47]","(0.779,2.35]","(-0.439,0.949]"
"702","2006-04-07","PHO","L 96-107",TRUE,42,"(2.09,3.58]","(1.45,2.91]","(1.43,2.63]","(-0.0334,1.23]","(2.29,3.91]","(1.44,2.88]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","(2.35,3.92]","(0.949,2.34]"
"703","2006-04-09","LAC","W 100-83",TRUE,47,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","(0.677,2.29]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.959,-0.0421]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","(1.01,2.1]","[-0.65,0.68]","(-0.45,0.723]","(0.753,1.61]","(0.779,2.35]","(-0.439,0.949]"
"704","2006-04-11","GSW","W 111-100",TRUE,34,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","(-0.00954,1.44]","(-0.464,0.705]","(0.694,1.89]","(-0.959,-0.0421]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","(-0.069,1.01]","[-0.65,0.68]","[-1.63,-0.45]","(0.753,1.61]","(-0.793,0.779]","(-0.439,0.949]"
"705","2006-04-14","POR","W 110-99",TRUE,44,"(2.09,3.58]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","(2.29,3.91]","(1.44,2.88]","(0.705,1.87]","(0.694,1.89]","(-0.959,-0.0421]","(1.34,2.92]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","(2.1,3.18]","[-0.65,0.68]","(-0.45,0.723]","(0.753,1.61]","(2.35,3.92]","(0.949,2.34]"
"706","2006-04-16","PHO","W 109-89",TRUE,39,"(-0.9,0.593]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","(3.04,4.22]","(3.09,4.3]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","(0.399,1.48]","(0.373,1.54]","(-0.517,0.715]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","(0.779,2.35]","(0.949,2.34]"
"707","2006-04-19","NOK","W 115-95",TRUE,29,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","(0.677,2.29]","(1.44,2.88]","(-0.464,0.705]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","(0.779,2.35]","(0.949,2.34]"
"708","2006-11-03","SEA","W 118-112",TRUE,41,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.959,-0.0421]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(0.723,1.9]","(-0.102,0.753]","(-0.793,0.779]","(-1.83,-0.439]"
"709","2006-11-05","SEA","L 101-117",TRUE,39,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(0.715,1.95]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(1.61,2.47]","[-2.37,-0.793]","(-1.83,-0.439]"
"710","2006-11-07","MIN","W 95-88",TRUE,35,"[-2.4,-0.9]","[-2.92,-1.46]","(-0.964,0.234]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(1.34,2.92]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","(-0.069,1.01]","[-0.65,0.68]","(0.723,1.9]","(-0.102,0.753]","[-2.37,-0.793]","(-0.439,0.949]"
"711","2006-11-08","POR","L 90-101",TRUE,36,"(0.593,2.09]","(-1.46,-0.00504]","(0.234,1.43]","(-1.29,-0.0334]","[-0.948,0.677]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.959,-0.0421]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(0.723,1.9]","(0.753,1.61]","(-0.793,0.779]","(-0.439,0.949]"
"712","2006-11-10","DET","L 83-97",TRUE,36,"[-2.4,-0.9]","(-1.46,-0.00504]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","[-1.97,-0.794]","[-1.76,-0.517]","(1.01,2.1]","[-0.65,0.68]","(-0.45,0.723]","(-0.958,-0.102]","(-0.793,0.779]","(-0.439,0.949]"
"713","2006-11-12","MEM","W 91-81",TRUE,38,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(0.723,1.9]","(-0.958,-0.102]","(-0.793,0.779]","(-1.83,-0.439]"
"714","2006-11-17","TOR","W 107-100",TRUE,40,"(-0.9,0.593]","(-1.46,-0.00504]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(1.48,2.56]","(1.54,2.71]","(0.715,1.95]","[-1.16,-0.069]","[-0.65,0.68]","(0.723,1.9]","(-0.958,-0.102]","(-0.793,0.779]","(-0.439,0.949]"
"715","2006-11-19","CHI","W 82-72",TRUE,40,"[-2.4,-0.9]","(-1.46,-0.00504]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","(-0.069,1.01]","[-0.65,0.68]","(-0.45,0.723]","(-0.102,0.753]","(-0.793,0.779]","(-0.439,0.949]"
"716","2006-11-21","LAC","W 105-101",TRUE,38,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(1.87,3.04]","(1.89,3.09]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","(0.753,1.61]","(0.779,2.35]","(0.949,2.34]"
"717","2006-11-24","UTA","L 108-114",TRUE,41,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.959,-0.0421]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
"718","2006-11-26","NJN","W 99-93",TRUE,43,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-1.88,-0.959]","(-1.83,-0.244]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","(0.715,1.95]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","(-0.793,0.779]","(-1.83,-0.439]"
"719","2006-11-28","MIL","L 105-109",TRUE,41,"(-0.9,0.593]","(-0.00504,1.45]","[-2.17,-0.964]","(-1.29,-0.0334]","(2.29,3.91]","(2.88,4.33]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(1.61,2.47]","(-0.793,0.779]","(-1.83,-0.439]"
"720","2006-11-30","UTA","W 132-102",TRUE,34,"(2.09,3.58]","(-0.00504,1.45]","(2.63,3.83]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(1.34,2.92]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(1.61,2.47]","(2.35,3.92]","(0.949,2.34]"
"721","2006-12-02","LAC","W 97-88",TRUE,40,"(-0.9,0.593]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(1.9,3.07]","(-0.102,0.753]","(-0.793,0.779]","(-1.83,-0.439]"
"722","2006-12-04","IND","W 101-87",TRUE,22,"(-0.9,0.593]","(-1.46,-0.00504]","[-2.17,-0.964]","(-1.29,-0.0334]","(0.677,2.29]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","(-0.793,0.779]","(0.949,2.34]"
