Date,Opp
2010-10-27,OKC
2010-10-30,DET
2010-11-01,POR
2010-11-04,NYK
2010-11-05,BOS
2010-11-08,DEN
2010-11-11,GSW
2010-11-13,WAS
2010-11-16,HOU
2010-11-17,SAS
2010-11-19,DAL
2010-11-23,LAL
2010-11-24,PHO
2010-11-26,DEN
2010-11-27,SAC
2010-12-01,ORL
2010-12-03,BOS
2010-12-04,HOU
2010-12-06,OKC
2010-12-08,CLE
2010-12-10,LAL
2010-12-11,MIN
2010-12-13,IND
2010-12-15,TOR
2010-12-18,LAC
2010-12-21,PHI
2010-12-22,WAS
2010-12-25,NYK
2010-12-26,DET
2010-12-28,MIL
2010-12-31,NJN
2011-01-01,CLE
2011-01-04,TOR
2011-01-05,NJN
2011-01-07,PHI
2011-01-08,BOS
2011-01-10,DET
2011-01-12,CHA
2011-01-14,IND
2011-01-15,MIA
2011-01-17,MEM
2011-01-18,CHA
2011-01-20,DAL
2011-01-22,CLE
2011-01-24,MIL
2011-01-28,ORL
2011-01-29,IND
2011-02-02,LAC
2011-02-05,GSW
2011-02-07,POR
2011-02-09,UTA
2011-02-12,NOH
2011-02-15,CHA
2011-02-17,SAS
2011-02-23,TOR
2011-02-24,MIA
2011-02-26,MIL
2011-02-28,WAS
2011-03-02,ATL
2011-03-04,ORL
2011-03-06,MIA
2011-03-07,NOH
2011-03-09,CHA
2011-03-11,ATL
2011-03-12,UTA
2011-03-15,WAS
2011-03-17,NJN
2011-03-18,IND
2011-03-21,SAC
2011-03-22,ATL
2011-03-25,MEM
2011-03-26,MIL
2011-03-28,PHI
2011-03-30,MIN
2011-04-01,DET
2011-04-02,TOR
2011-04-05,PHO
2011-04-07,BOS
2011-04-08,CLE
2011-04-10,ORL
2011-04-12,NYK
2011-04-13,NJN
