Player,WS48
Trenton Hassell,.033
Marcus Fizer,.026
Ron Mercer,-0.035
Fred Hoiberg,.092
Brad Miller,.152
Tyson Chandler,.062
Charles Oakley,-0.016
Jalen Rose,.082
Eddy Curry,.075
Kevin Ollie,.031
Greg Anthony,.059
Metta World Peace,.083
Travis Best,.085
Eddie Robinson,.015
Dalibor Bagarić,-0.011
A.J. Guyton,.006
Jamal Crawford,.055
Norm Richardson,.043
