Date,Opp
2008-10-28,MIL
2008-10-31,BOS
2008-11-01,MEM
2008-11-03,ORL
2008-11-05,CLE
2008-11-07,PHO
2008-11-08,CLE
2008-11-11,ATL
2008-11-13,DAL
2008-11-15,IND
2008-11-18,LAL
2008-11-19,POR
2008-11-21,GSW
2008-11-23,DEN
2008-11-24,UTA
2008-11-26,SAS
2008-11-30,PHI
2008-12-02,PHI
2008-12-03,MIL
2008-12-06,WAS
2008-12-09,NYK
2008-12-12,MEM
2008-12-13,NJN
2008-12-16,CHA
2008-12-17,LAC
2008-12-19,BOS
2008-12-20,UTA
2008-12-23,DET
2008-12-26,MIA
2008-12-27,ATL
2008-12-29,NJN
2008-12-31,ORL
2009-01-02,CLE
2009-01-03,MIN
2009-01-06,SAC
2009-01-09,WAS
2009-01-10,OKC
2009-01-12,POR
2009-01-14,TOR
2009-01-15,CLE
2009-01-17,SAS
2009-01-19,NYK
2009-01-20,ATL
2009-01-23,TOR
2009-01-25,MIN
2009-01-28,LAC
2009-01-30,SAC
2009-01-31,PHO
2009-02-03,HOU
2009-02-04,NOH
2009-02-07,DAL
2009-02-10,DET
2009-02-12,MIA
2009-02-18,MIL
2009-02-20,DEN
2009-02-22,IND
2009-02-24,ORL
2009-02-25,NJN
2009-02-27,WAS
2009-02-28,HOU
2009-03-03,CHA
2009-03-04,GSW
2009-03-06,MIL
2009-03-09,MIA
2009-03-11,ORL
2009-03-13,PHI
2009-03-14,NOH
2009-03-17,BOS
2009-03-18,OKC
2009-03-21,LAL
2009-03-23,WAS
2009-03-24,DET
2009-03-26,MIA
2009-03-28,IND
2009-03-29,TOR
2009-03-31,IND
2009-04-04,NJN
2009-04-07,NYK
2009-04-09,PHI
2009-04-11,CHA
2009-04-13,DET
2009-04-15,TOR
