Player,WS48
Derrick Rose,.078
Ben Gordon,.110
Tyrus Thomas,.101
Joakim Noah,.159
Luol Deng,.085
Kirk Hinrich,.092
Andrés Nocioni,.072
John Salmons,.127
Drew Gooden,.090
Larry Hughes,.088
Brad Miller,.165
Thabo Sefolosha,.067
Aaron Gray,.086
Lindsey Hunter,-0.003
Tim Thomas,.078
Cedric Simmons,.139
Linton Johnson,-0.008
Anthony Roberson,-0.136
Demetris Nichols,-0.283
