Date,Opp
2006-10-31,MIA
2006-11-01,ORL
2006-11-03,SAC
2006-11-06,MIL
2006-11-09,CLE
2006-11-11,IND
2006-11-14,DAL
2006-11-16,HOU
2006-11-17,SAS
2006-11-19,LAL
2006-11-21,DEN
2006-11-24,PHI
2006-11-25,NYK
2006-11-28,NYK
2006-12-01,NOK
2006-12-02,WAS
2006-12-04,BOS
2006-12-06,PHI
2006-12-08,TOR
2006-12-09,MIN
2006-12-11,IND
2006-12-13,SEA
2006-12-15,MIL
2006-12-16,ATL
2006-12-19,LAL
2006-12-22,NYK
2006-12-23,CHA
2006-12-26,MIN
2006-12-27,MIA
2006-12-29,TOR
2006-12-30,CLE
2007-01-02,PHO
2007-01-05,NJN
2007-01-06,DET
2007-01-08,HOU
2007-01-10,WAS
2007-01-11,NJN
2007-01-13,MEM
2007-01-15,SAS
2007-01-17,MIL
2007-01-20,UTA
2007-01-22,IND
2007-01-23,ATL
2007-01-25,DAL
2007-01-27,MIA
2007-01-31,LAC
2007-02-02,SEA
2007-02-03,POR
2007-02-05,UTA
2007-02-08,SAC
2007-02-09,GSW
2007-02-11,PHO
2007-02-13,TOR
2007-02-14,CHA
2007-02-20,ATL
2007-02-22,CLE
2007-02-23,WAS
2007-02-25,DET
2007-02-26,ORL
2007-02-28,GSW
2007-03-02,NOK
2007-03-04,MIL
2007-03-07,MIA
2007-03-08,ORL
2007-03-11,BOS
2007-03-13,BOS
2007-03-14,PHI
2007-03-17,MEM
2007-03-20,LAC
2007-03-22,DEN
2007-03-25,IND
2007-03-26,POR
2007-03-29,DET
2007-03-31,CLE
2007-04-01,ATL
2007-04-04,DET
2007-04-06,NJN
2007-04-08,TOR
2007-04-10,NYK
2007-04-13,CHA
2007-04-15,WAS
2007-04-18,NJN
