Date,Sep,Opp,WL,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1980-12-30,,NJN,W,121,110,114.9,104.4,105.3,.416,.022,.575,58.4,57.4,13.3,6.2,.528,15.3,42.2,.303,.500,17.6,75.0,.341
1981-01-02,@,WSB,W,92,82,94.4,84.1,97.5,.314,.035,.470,46.9,54.1,8.2,8.0,.430,13.3,25.0,.209,.402,14.8,68.8,.087
1981-01-03,,SAS,L,111,119,108.1,115.9,102.7,.337,.053,.509,51.0,52.3,5.8,11.9,.463,11.4,38.2,.242,.529,14.2,68.3,.341
1981-01-06,,SDC,W,108,93,109.3,94.1,98.8,.315,.011,.533,55.1,53.5,14.2,12.0,.483,17.2,50.0,.247,.383,13.0,58.5,.103
1981-01-09,@,BOS,L,111,117,107.5,113.4,93.5,.241,.023,.577,51.4,45.7,6.8,3.7,.529,17.2,30.6,.218,.553,15.3,71.1,.271
1981-01-10,,PHI,L,102,117,102.9,118.0,99.1,.518,.035,.489,45.5,51.5,10.1,9.5,.388,9.5,28.0,.424,.547,13.1,68.4,.267
1981-01-13,@,DAL,L,106,112,108.8,114.9,97.5,.310,.083,.555,55.6,61.0,3.1,6.6,.506,15.9,30.8,.250,.494,10.2,78.6,.468
1981-01-14,@,HOU,L,105,109,106.4,110.4,98.7,.298,.083,.553,54.3,51.2,9.1,1.2,.506,18.8,38.5,.238,.524,15.9,69.0,.250
1981-01-16,,POR,L,112,113,118.0,119.1,94.9,.196,.029,.505,68.3,53.2,7.4,11.5,.466,13.3,58.8,.167,.603,15.4,83.9,.244
1981-01-17,,CLE,L,98,110,110.3,123.8,88.8,.188,.106,.532,54.1,60.5,5.6,4.0,.512,16.4,44.2,.129,.604,13.0,67.7,.221
1981-01-20,,IND,W,121,105,120.2,104.3,100.6,.345,.024,.625,53.7,58.3,8.9,9.3,.571,15.7,31.3,.298,.466,12.8,68.0,.261
1981-01-22,@,DET,W,125,92,109.7,80.7,113.9,.286,.011,.610,59.5,59.6,10.5,7.4,.571,20.9,31.6,.231,.427,22.0,82.6,.268
1981-01-23,,DAL,W,106,98,116.4,107.6,91.1,.314,.023,.541,58.8,46.3,7.7,9.5,.477,14.0,50.0,.279,.533,18.8,69.4,.224
1981-01-24,@,ATL,W,104,102,102.2,100.2,101.8,.589,.014,.566,50.0,25.7,6.9,8.5,.479,23.3,36.8,.466,.453,16.9,58.9,.168
1981-01-27,,GSW,W,118,101,117.3,100.4,100.6,.244,.011,.592,53.9,60.4,8.9,10.9,.533,13.8,39.0,.244,.467,15.5,66.7,.163
1981-01-29,,BOS,W,108,85,109.4,86.1,98.7,.275,.000,.529,56.0,65.1,15.2,9.7,.473,11.3,36.2,.242,.408,21.9,77.3,.303
1981-02-04,@,CLE,W,109,96,113.3,99.8,96.2,.293,.013,.644,52.4,57.8,4.2,7.0,.600,20.6,25.9,.253,.417,10.3,65.5,.167
1981-02-06,,NYK,L,94,112,91.3,108.8,103.0,.354,.089,.515,58.2,54.1,5.8,8.5,.475,23.5,43.6,.241,.541,19.2,72.5,.235
1981-02-07,,DET,W,98,90,108.7,99.9,90.1,.341,.024,.520,49.5,55.3,5.5,16.3,.463,12.1,36.7,.268,.372,13.0,61.1,.302
1981-02-08,@,MIL,L,109,128,101.7,119.5,107.1,.348,.034,.531,49.3,52.4,6.5,5.8,.472,17.7,31.7,.281,.603,14.4,73.3,.264
1981-02-10,,KCK,W,116,115,116.9,115.9,99.2,.482,.000,.577,56.4,58.5,5.0,9.4,.494,14.5,41.0,.410,.565,15.0,71.8,.224
1981-02-11,@,NJN,L,133,135,112.4,114.1,107.2,.469,.021,.574,57.6,55.1,7.6,7.1,.510,19.5,48.8,.365,.509,11.3,65.3,.147
1981-02-14,,SEA,W,134,117,132.5,115.7,101.1,.223,.011,.649,52.6,50.0,11.9,7.4,.617,13.4,41.7,.191,.530,16.2,61.9,.366
1981-02-15,@,IND,L,107,113,117.4,124.0,91.1,.629,.029,.599,47.4,45.7,7.7,1.2,.500,18.3,40.5,.529,.506,11.6,53.7,.318
1981-02-17,@,SDC,L,95,128,95.1,128.1,99.9,.423,.038,.513,43.4,65.6,7.0,1.1,.417,21.9,34.1,.385,.559,12.3,52.4,.258
1981-02-18,@,GSW,L,100,103,108.7,112.0,92.0,.400,.000,.607,46.8,60.0,4.3,3.5,.571,17.9,28.6,.286,.449,12.8,57.1,.258
1981-02-20,@,UTA,W,92,84,103.1,94.1,89.2,.355,.013,.523,50.0,67.6,7.8,6.5,.487,12.9,24.4,.237,.430,13.8,75.6,.203
1981-02-22,,ATL,L,116,121,119.4,124.5,97.2,.481,.052,.622,53.5,60.5,5.1,9.9,.565,14.6,33.3,.377,.580,11.7,71.1,.333
1981-02-24,,LAL,L,97,107,98.8,109.0,98.2,.194,.061,.456,54.5,63.4,9.2,4.7,.423,12.4,39.7,.143,.535,14.4,75.6,.174
1981-02-27,,WSB,W,112,100,116.4,103.9,96.2,.170,.023,.592,64.6,58.8,7.3,9.8,.580,12.9,36.7,.114,.489,11.0,81.6,.159
1981-02-28,@,NYK,W,101,97,106.8,102.6,94.6,.294,.000,.526,47.7,61.0,10.6,6.5,.482,11.9,28.6,.224,.450,13.3,65.2,.313
1981-03-03,,NJN,W,128,102,122.2,97.4,104.7,.278,.010,.588,61.7,55.6,11.5,8.8,.557,14.9,50.0,.206,.494,21.2,74.4,.241
1981-03-04,@,PHI,W,111,100,107.4,96.7,103.4,.590,.026,.565,49.4,74.3,12.6,3.6,.455,18.3,33.3,.513,.476,20.4,63.6,.224
1981-03-08,@,WSB,L,99,103,101.6,105.7,97.4,.415,.000,.511,46.5,73.0,7.2,6.7,.451,14.9,27.9,.305,.467,10.4,65.1,.185
1981-03-10,@,ATL,W,118,116,122.9,120.8,96.0,.453,.013,.656,53.2,69.8,9.4,4.0,.573,18.9,37.9,.427,.623,14.9,66.7,.260
1981-03-13,@,NYK,L,117,127,107.4,116.6,108.9,.367,.156,.560,46.8,47.7,9.2,3.8,.517,18.0,31.8,.267,.602,18.2,66.7,.325
1981-03-15,@,KCK,W,97,87,98.5,88.4,98.4,.413,.000,.547,52.4,61.1,10.2,0.0,.480,19.9,25.0,.333,.493,21.4,78.6,.189
1981-03-17,,MIL,W,116,106,114.3,104.4,101.5,.540,.011,.539,65.5,52.4,9.9,6.2,.483,17.0,58.1,.368,.518,18.1,73.2,.226
1981-03-19,@,CLE,W,116,111,122.4,117.1,94.8,.551,.013,.598,42.9,65.9,6.3,6.7,.526,14.2,39.4,.436,.505,16.4,45.5,.196
1981-03-20,,PHI,W,120,108,118.6,106.7,101.2,.652,.030,.707,65.3,65.9,6.9,7.5,.621,22.7,38.1,.576,.449,9.2,76.5,.204
1981-03-22,@,DET,W,109,103,103.2,97.6,105.6,.397,.000,.635,44.9,64.3,8.5,7.7,.575,23.3,9.4,.342,.530,20.1,75.7,.195
1981-03-24,,CLE,W,121,108,117.9,105.3,102.6,.481,.013,.649,60.6,53.3,9.7,9.9,.591,19.8,42.9,.390,.517,18.4,72.1,.167
1981-03-27,,ATL,W,108,83,117.5,90.3,91.9,.333,.000,.628,52.6,50.0,12.0,15.9,.613,18.9,40.0,.213,.455,17.9,60.4,.034
1981-03-29,@,IND,W,101,97,110.0,105.7,91.8,.228,.013,.581,48.8,51.2,8.7,3.4,.544,16.4,30.6,.190,.479,12.6,63.6,.074
1981-10-30,@,IND,L,94,96,106.3,108.6,88.4,.683,.017,.602,47.8,68.8,11.3,5.6,.533,20.4,28.6,.500,.520,16.6,67.6,.257
1981-10-31,,DET,L,106,119,105.3,118.2,100.7,.425,.046,.513,51.0,35.1,4.0,9.8,.425,14.8,34.6,.368,.467,6.7,67.3,.359
1981-11-03,,ATL,W,104,96,117.5,108.5,88.5,.577,.028,.584,53.7,62.2,4.5,6.1,.521,12.7,38.9,.423,.453,12.8,65.2,.224
1981-11-04,@,BOS,L,93,115,90.1,111.4,103.2,.463,.000,.471,42.7,63.3,6.8,3.1,.366,18.9,30.4,.402,.480,14.8,55.8,.190
1981-11-06,,SDC,W,114,93,111.2,90.7,102.5,.395,.000,.565,52.1,65.1,10.7,7.2,.500,12.2,26.3,.326,.430,17.4,69.6,.221
1981-11-07,,NJN,W,118,105,118.5,105.4,99.6,.692,.031,.696,53.0,53.8,9.0,11.8,.608,20.6,25.8,.600,.529,16.1,77.1,.149
