Season,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2007-08,0.76,0.50,0.66,0.76,0.78,0.75,0.95,0.79,0.91,0.76,0.80,0.63,0.78,0.63,0.52,0.60,0.36,0.75,0.78,0.76,0.56,0.69,0.75,0.76,0.74,0.67,0.87,0.71,0.88,0.89
2008-09,0.79,0.94,0.52,0.73,0.78,0.91,0.66,0.81,0.56,0.74,0.52,0.23,0.95,0.49,0.57,0.47,0.58,0.41,0.77,0.61,0.58,0.64,0.80,0.63,0.72,0.66,0.77,0.78,0.92,0.74
2009-10,0.80,0.79,0.59,0.72,0.71,0.63,0.76,0.48,0.58,0.64,0.64,0.66,0.87,0.60,0.78,0.42,0.46,0.69,0.58,0.78,0.76,0.61,0.73,0.85,0.70,0.58,0.61,0.38,0.86,0.59
2010-11,0.88,0.76,0.70,0.49,0.58,0.79,0.72,0.80,0.53,0.77,0.77,0.38,0.85,0.80,0.45,0.62,0.40,0.34,0.45,0.34,0.91,0.64,0.75,0.61,0.78,0.61,0.82,0.59,0.50,0.47
2011-12,0.72,0.65,0.57,0.93,0.64,0.71,0.64,0.69,0.47,0.73,0.72,0.52,0.79,0.72,0.79,0.58,0.73,0.54,0.48,0.47,0.93,0.84,0.90,0.70,0.59,0.58,0.79,0.78,0.77,0.69
2012-13,0.52,0.53,0.49,0.63,0.55,0.39,0.82,0.71,0.52,0.32,0.73,0.55,0.49,0.70,0.82,0.79,0.54,0.54,0.41,0.54,0.80,0.26,0.63,0.41,0.57,0.81,0.95,0.55,0.73,0.47
2013-14,0.53,0.59,0.64,0.69,0.60,0.48,0.62,0.59,0.71,0.77,0.77,0.66,0.43,0.65,0.91,0.24,0.59,0.45,0.61,0.73,0.89,0.81,0.37,0.46,0.65,0.53,0.83,0.68,0.62,0.77
2014-15,0.88,0.50,0.61,0.64,0.39,0.38,0.62,0.57,0.80,0.48,0.75,0.83,0.44,0.85,0.50,0.67,0.43,0.62,0.66,0.39,0.66,0.52,0.29,0.81,0.80,0.70,0.98,0.82,0.61,0.72
2015-16,0.87,0.85,0.51,0.90,0.84,0.55,0.70,0.50,0.95,0.85,0.62,0.61,0.46,0.65,0.65,0.79,0.67,0.57,0.79,0.42,0.93,0.76,0.63,0.53,0.47,0.52,0.69,0.62,0.77,0.75
2016-17,0.68,0.79,0.80,0.46,0.83,0.50,0.71,0.75,0.67,0.65,0.62,0.80,0.62,0.75,0.50,0.47,0.84,0.37,0.48,0.37,0.53,0.56,0.50,0.68,0.85,0.47,0.69,0.84,0.70,0.77
2017-18,0.51,0.41,0.73,0.51,0.53,0.74,0.80,0.59,0.81,0.59,0.39,0.36,0.41,0.56,0.79,0.77,0.53,0.51,0.60,0.37,0.52,0.62,0.61,0.64,0.93,0.44,0.87,0.84,0.51,0.82
2018-19,0.45,0.96,0.79,0.64,0.59,0.61,0.98,0.74,0.81,0.70,0.77,0.66,0.52,0.37,0.99,0.65,0.62,0.69,0.56,0.49,0.73,0.85,0.57,0.39,0.82,0.58,0.63,0.67,0.92,0.49
2019-20,0.49,0.70,0.65,0.56,0.70,0.68,0.80,0.56,0.22,0.65,0.47,0.55,0.52,0.41,0.54,0.76,0.51,0.51,0.30,0.35,0.47,0.81,0.59,0.51,0.55,0.67,0.80,0.82,0.61,0.40
2020-21,0.48,0.73,0.79,0.69,0.54,0.79,0.70,0.14,0.72,0.20,0.88,0.71,0.60,0.80,0.83,0.59,0.66,0.51,0.58,0.64,0.42,0.52,0.58,0.66,0.60,0.67,0.90,0.68,0.90,0.52
