Player,WS48
Michael Jordan,.283
Scottie Pippen,.203
Dennis Rodman,.148
Steve Kerr,.192
Ron Harper,.157
Toni Kukoč,.204
Luc Longley,.103
Jason Caffey,.134
Randy Brown,.107
Bill Wennington,.124
Jud Buechler,.082
Robert Parish,.101
Dickey Simpkins,.006
Bison Dele,.073
Matt Steigenga,-0.126
