Date,Opp
1999-02-05,UTA
1999-02-07,LAC
1999-02-09,ATL
1999-02-11,NYK
1999-02-14,SAS
1999-02-16,ATL
1999-02-17,MIL
1999-02-19,WAS
1999-02-21,NYK
1999-02-22,ATL
1999-02-23,MIL
1999-02-25,PHI
1999-02-27,CHH
1999-02-28,TOR
1999-03-02,DET
1999-03-03,PHI
1999-03-08,MIL
1999-03-09,NJN
1999-03-11,SEA
1999-03-12,NYK
1999-03-15,CLE
1999-03-17,ORL
1999-03-18,NJN
1999-03-19,IND
1999-03-21,BOS
1999-03-23,TOR
1999-03-24,CHH
1999-03-26,ATL
1999-03-28,TOR
1999-03-30,PHI
1999-04-01,DET
1999-04-02,ORL
1999-04-04,VAN
1999-04-06,CLE
1999-04-07,IND
1999-04-10,MIA
1999-04-11,BOS
1999-04-13,MIA
1999-04-14,CLE
1999-04-16,WAS
1999-04-18,MIL
1999-04-20,WAS
1999-04-21,NJN
1999-04-23,BOS
1999-04-24,IND
1999-04-26,DAL
1999-04-30,CHH
1999-05-01,MIA
1999-05-03,DET
1999-05-05,ORL
