Player,WS48
Jalen Rose,.052
Donyell Marshall,.122
Trenton Hassell,-0.003
Jamal Crawford,.067
Jay Williams,.020
Tyson Chandler,.102
Eddy Curry,.107
Eddie Robinson,.076
Corie Blount,.064
Marcus Fizer,.082
Fred Hoiberg,.077
Lonny Baxter,.063
Rick Brunson,.070
Roger Mason,.038
Dalibor Bagarić,-0.048
