Date,Opp
2002-10-30,BOS
2002-11-01,NOH
2002-11-02,ATL
2002-11-04,TOR
2002-11-06,BOS
2002-11-08,DAL
2002-11-09,NJN
2002-11-13,MIL
2002-11-15,NOH
2002-11-16,MEM
2002-11-19,SAC
2002-11-20,GSW
2002-11-22,LAL
2002-11-23,UTA
2002-11-27,BOS
2002-11-30,DAL
2002-12-03,NOH
2002-12-04,CLE
2002-12-06,TOR
2002-12-07,CLE
2002-12-10,ORL
2002-12-12,DET
2002-12-14,MIL
2002-12-16,BOS
2002-12-18,TOR
2002-12-20,IND
2002-12-21,IND
2002-12-23,NJN
2002-12-27,MIN
2002-12-28,SAS
2002-12-31,POR
2003-01-02,WAS
2003-01-04,CLE
2003-01-06,UTA
2003-01-08,WAS
2003-01-10,MIL
2003-01-13,NYK
2003-01-14,NYK
2003-01-17,NOH
2003-01-18,MIA
2003-01-20,ATL
2003-01-22,ORL
2003-01-24,WAS
2003-01-26,HOU
2003-01-29,LAC
2003-01-31,POR
2003-02-01,SEA
2003-02-03,PHO
2003-02-04,DEN
2003-02-11,DET
2003-02-12,PHI
2003-02-14,NJN
2003-02-15,DEN
2003-02-18,CLE
2003-02-19,PHI
2003-02-21,ORL
2003-02-22,MIA
2003-02-24,PHO
2003-02-26,TOR
2003-02-28,ATL
2003-03-01,WAS
2003-03-03,ORL
2003-03-06,GSW
2003-03-08,LAC
2003-03-11,LAL
2003-03-12,MEM
2003-03-14,HOU
2003-03-16,SAS
2003-03-18,ATL
2003-03-22,NYK
2003-03-23,DET
2003-03-26,MIA
2003-03-28,IND
2003-03-29,SAC
2003-04-01,SEA
2003-04-02,PHI
2003-04-05,MIL
2003-04-08,IND
2003-04-09,DET
2003-04-11,NJN
2003-04-13,MIN
2003-04-15,PHI
