Date,Opp
1984-10-26,WSB
1984-10-27,MIL
1984-10-29,MIL
1984-10-30,KCK
1984-11-01,DEN
1984-11-07,DET
1984-11-08,NYK
1984-11-10,IND
1984-11-13,SAS
1984-11-15,BOS
1984-11-17,PHI
1984-11-19,IND
1984-11-21,MIL
1984-11-23,SEA
1984-11-24,POR
1984-11-27,GSW
1984-11-29,PHO
1984-11-30,LAC
1984-12-02,LAL
1984-12-04,NJN
1984-12-07,NYK
1984-12-08,DAL
1984-12-11,DET
1984-12-12,DET
1984-12-14,NJN
1984-12-15,PHI
1984-12-18,HOU
1984-12-20,ATL
1984-12-22,BOS
1984-12-27,CLE
1984-12-29,ATL
1985-01-02,ATL
1985-01-04,MIL
1985-01-05,NYK
1985-01-09,BOS
1985-01-11,NYK
1985-01-12,CLE
1985-01-14,DEN
1985-01-16,NJN
1985-01-17,CLE
1985-01-19,IND
1985-01-22,POR
1985-01-25,SEA
1985-01-26,ATL
1985-01-29,KCK
1985-01-30,WSB
1985-02-01,PHI
1985-02-05,BOS
1985-02-07,CLE
1985-02-12,DET
1985-02-15,IND
1985-02-17,MIL
1985-02-19,LAL
1985-02-22,BOS
1985-02-23,GSW
1985-02-26,CLE
1985-02-27,DET
1985-03-01,NYK
1985-03-03,NJN
1985-03-05,WSB
1985-03-06,BOS
1985-03-08,LAC
1985-03-09,UTA
1985-03-11,WSB
1985-03-12,DET
1985-03-14,NYK
1985-03-15,PHO
1985-03-17,MIL
1985-03-19,HOU
1985-03-20,SAS
1985-03-23,DAL
1985-03-24,UTA
1985-03-26,IND
1985-03-28,CLE
1985-03-30,PHI
1985-04-02,NJN
1985-04-03,WSB
1985-04-05,PHI
1985-04-06,ATL
1985-04-08,IND
1985-04-12,ATL
1985-04-13,NJN
