Date,Opp
2017-10-19,TOR
2017-10-21,SAS
2017-10-24,CLE
2017-10-26,ATL
2017-10-28,OKC
2017-11-01,MIA
2017-11-03,ORL
2017-11-04,NOP
2017-11-07,TOR
2017-11-10,IND
2017-11-11,SAS
2017-11-15,OKC
2017-11-17,CHO
2017-11-19,PHO
2017-11-21,LAL
2017-11-22,UTA
2017-11-24,GSW
2017-11-26,MIA
2017-11-28,PHO
2017-11-30,DEN
2017-12-01,SAC
2017-12-04,CLE
2017-12-06,IND
2017-12-08,CHO
2017-12-09,NYK
2017-12-11,BOS
2017-12-13,UTA
2017-12-15,MIL
2017-12-18,PHI
2017-12-20,ORL
2017-12-21,CLE
2017-12-23,BOS
2017-12-26,MIL
2017-12-27,NYK
2017-12-29,IND
2017-12-31,WAS
2018-01-01,POR
2018-01-03,TOR
2018-01-05,DAL
2018-01-06,IND
2018-01-08,HOU
2018-01-10,NYK
2018-01-13,DET
2018-01-15,MIA
2018-01-17,GSW
2018-01-20,ATL
2018-01-22,NOP
2018-01-24,PHI
2018-01-26,LAL
2018-01-28,MIL
2018-01-31,POR
2018-02-03,LAC
2018-02-05,SAC
2018-02-09,MIN
2018-02-10,WAS
2018-02-12,ORL
2018-02-14,TOR
2018-02-22,PHI
2018-02-24,MIN
2018-02-26,BRK
2018-02-27,CHO
2018-03-02,DAL
2018-03-05,BOS
2018-03-07,MEM
2018-03-09,DET
2018-03-11,ATL
2018-03-13,LAC
2018-03-15,MEM
2018-03-17,CLE
2018-03-19,NYK
2018-03-21,DEN
2018-03-23,MIL
2018-03-24,DET
2018-03-27,HOU
2018-03-29,MIA
2018-03-30,ORL
2018-04-01,WAS
2018-04-03,CHO
2018-04-06,BOS
2018-04-07,BRK
2018-04-09,BRK
2018-04-11,DET
