Date,Opp
1983-10-29,NJN
1983-11-01,PHI
1983-11-03,NJN
1983-11-04,ATL
1983-11-08,KCK
1983-11-11,WSB
1983-11-12,BOS
1983-11-15,DET
1983-11-17,SEA
1983-11-19,IND
1983-11-23,UTA
1983-11-25,PHO
1983-11-27,LAL
1983-11-29,HOU
1983-12-02,SAS
1983-12-03,DAL
1983-12-06,BOS
1983-12-09,HOU
1983-12-10,CLE
1983-12-13,MIL
1983-12-15,NYK
1983-12-17,DAL
1983-12-22,MIL
1983-12-23,WSB
1983-12-27,NYK
1983-12-29,POR
1983-12-30,DET
1984-01-03,PHO
1984-01-04,IND
1984-01-06,WSB
1984-01-07,WSB
1984-01-10,IND
1984-01-11,NJN
1984-01-13,DET
1984-01-14,NYK
1984-01-17,CLE
1984-01-19,NYK
1984-01-21,CLE
1984-01-24,ATL
1984-01-26,DEN
1984-01-31,BOS
1984-02-01,ATL
1984-02-03,CLE
1984-02-04,NJN
1984-02-07,PHI
1984-02-08,NJN
1984-02-10,PHI
1984-02-11,GSW
1984-02-14,SDC
1984-02-17,SAS
1984-02-19,MIL
1984-02-21,UTA
1984-02-22,IND
1984-02-24,WSB
1984-02-25,ATL
1984-02-28,LAL
1984-02-29,MIL
1984-03-02,BOS
1984-03-03,ATL
1984-03-06,DET
1984-03-08,KCK
1984-03-10,SDC
1984-03-13,GSW
1984-03-15,SEA
1984-03-16,POR
1984-03-18,DEN
1984-03-20,CLE
1984-03-23,IND
1984-03-25,IND
1984-03-27,DET
1984-03-28,DET
1984-03-30,MIL
1984-03-31,PHI
1984-04-02,NYK
1984-04-03,NYK
1984-04-05,CLE
1984-04-06,ATL
1984-04-08,BOS
1984-04-09,WSB
1984-04-11,NJN
1984-04-13,MIL
1984-04-15,PHI
