Date,Opp
2015-10-27,CLE
2015-10-28,BRK
2015-10-30,DET
2015-11-01,ORL
2015-11-03,CHO
2015-11-05,OKC
2015-11-07,MIN
2015-11-09,PHI
2015-11-13,CHO
2015-11-16,IND
2015-11-18,PHO
2015-11-20,GSW
2015-11-24,POR
2015-11-27,IND
2015-11-30,SAS
2015-12-02,DEN
2015-12-05,CHO
2015-12-07,PHO
2015-12-09,BOS
2015-12-10,LAC
2015-12-12,NOP
2015-12-14,PHI
2015-12-16,MEM
2015-12-18,DET
2015-12-19,NYK
2015-12-21,BRK
2015-12-25,OKC
2015-12-26,DAL
2015-12-28,TOR
2015-12-30,IND
2016-01-01,NYK
2016-01-03,TOR
2016-01-05,MIL
2016-01-07,BOS
2016-01-09,ATL
2016-01-11,WAS
2016-01-12,MIL
2016-01-14,PHI
2016-01-15,DAL
2016-01-18,DET
2016-01-20,GSW
2016-01-22,BOS
2016-01-23,CLE
2016-01-25,MIA
2016-01-28,LAL
2016-01-31,LAC
2016-02-01,UTA
2016-02-03,SAC
2016-02-05,DEN
2016-02-06,MIN
2016-02-08,CHO
2016-02-10,ATL
2016-02-18,CLE
2016-02-19,TOR
2016-02-21,LAL
2016-02-24,WAS
2016-02-26,ATL
2016-02-27,POR
2016-03-01,MIA
2016-03-02,ORL
2016-03-05,HOU
2016-03-07,MIL
2016-03-10,SAS
2016-03-11,MIA
2016-03-14,TOR
2016-03-16,WAS
2016-03-17,BRK
2016-03-19,UTA
2016-03-21,SAC
2016-03-23,NYK
2016-03-24,NYK
2016-03-26,ORL
2016-03-28,ATL
2016-03-29,IND
2016-03-31,HOU
2016-04-02,DET
2016-04-03,MIL
2016-04-05,MEM
2016-04-07,MIA
2016-04-09,CLE
2016-04-11,NOP
2016-04-13,PHI
