Date,Opp
2007-10-31,NJN
2007-11-02,PHI
2007-11-03,MIL
2007-11-06,LAC
2007-11-08,DET
2007-11-10,TOR
2007-11-15,PHO
2007-11-17,LAC
2007-11-18,LAL
2007-11-20,DEN
2007-11-24,NYK
2007-11-25,TOR
2007-11-27,ATL
2007-12-01,CHA
2007-12-03,DAL
2007-12-05,CHA
2007-12-07,DET
2007-12-08,BOS
2007-12-11,SEA
2007-12-12,IND
2007-12-14,NYK
2007-12-18,LAL
2007-12-19,WAS
2007-12-21,BOS
2007-12-22,HOU
2007-12-26,SAS
2007-12-28,MIL
2007-12-30,NYK
2007-12-31,ORL
2008-01-02,CHA
2008-01-03,POR
2008-01-05,SAC
2008-01-08,NYK
2008-01-11,PHI
2008-01-13,ATL
2008-01-15,ORL
2008-01-16,MIA
2008-01-18,GSW
2008-01-19,DET
2008-01-21,MEM
2008-01-23,IND
2008-01-25,CHA
2008-01-27,PHO
2008-01-29,MIN
2008-01-30,MIN
2008-02-02,SAC
2008-02-04,SEA
2008-02-06,POR
2008-02-07,GSW
2008-02-09,UTA
2008-02-12,NOH
2008-02-14,MIA
2008-02-20,NJN
2008-02-22,DEN
2008-02-24,HOU
2008-02-25,DAL
2008-02-27,IND
2008-02-29,WAS
2008-03-02,CLE
2008-03-04,MEM
2008-03-06,CLE
2008-03-07,BOS
2008-03-09,DET
2008-03-11,UTA
2008-03-14,PHI
2008-03-17,NOH
2008-03-18,NJN
2008-03-20,SAS
2008-03-22,IND
2008-03-25,ATL
2008-03-26,PHI
2008-03-28,ATL
2008-03-29,MIL
2008-04-01,BOS
2008-04-03,CLE
2008-04-05,WAS
2008-04-08,MIA
2008-04-09,ORL
2008-04-11,CLE
2008-04-13,ORL
2008-04-14,MIL
2008-04-16,TOR
