Player,WS48
Kirk Hinrich,.072
Ben Gordon,.106
Luol Deng,.098
Andrés Nocioni,.077
Ben Wallace,.072
Joakim Noah,.120
Chris Duhon,.075
Thabo Sefolosha,.050
Tyrus Thomas,.088
Joe Smith,.109
Larry Hughes,.043
Aaron Gray,.066
Drew Gooden,.114
Adrian Griffin,-0.009
Viktor Khryapa,.020
Thomas Gardner,-0.128
Demetris Nichols,-0.056
Shannon Brown,-0.592
Cedric Simmons,-0.362
