Player,WS48
Jimmy Butler,.236
Robin Lopez,.090
Rajon Rondo,.060
Dwyane Wade,.090
Nikola Mirotić,.107
Taj Gibson,.104
Doug McDermott,.084
Cristiano Felício,.158
Jerian Grant,.119
Bobby Portis,.114
Denzel Valentine,.031
Michael Carter-Williams,.013
Paul Zipser,.030
Isaiah Canaan,.042
Joffrey Lauvergne,.025
Cameron Payne,-0.086
Anthony Morrow,.190
R.J. Hunter,-0.088
