Date,Opp
2016-10-27,BOS
2016-10-29,IND
2016-10-31,BRK
2016-11-02,BOS
2016-11-04,NYK
2016-11-05,IND
2016-11-07,ORL
2016-11-09,ATL
2016-11-10,MIA
2016-11-12,WAS
2016-11-15,POR
2016-11-17,UTA
2016-11-19,LAC
2016-11-20,LAL
2016-11-22,DEN
2016-11-25,PHI
2016-11-30,LAL
2016-12-02,CLE
2016-12-03,DAL
2016-12-05,POR
2016-12-06,DET
2016-12-08,SAS
2016-12-10,MIA
2016-12-13,MIN
2016-12-15,MIL
2016-12-16,MIL
2016-12-19,DET
2016-12-21,WAS
2016-12-23,CHO
2016-12-25,SAS
2016-12-26,IND
2016-12-28,BRK
2016-12-30,IND
2016-12-31,MIL
2017-01-02,CHO
2017-01-04,CLE
2017-01-07,TOR
2017-01-09,OKC
2017-01-10,WAS
2017-01-12,NYK
2017-01-14,NOP
2017-01-15,MEM
2017-01-17,DAL
2017-01-20,ATL
2017-01-21,SAC
2017-01-24,ORL
2017-01-25,ATL
2017-01-27,MIA
2017-01-29,PHI
2017-02-01,OKC
2017-02-03,HOU
2017-02-06,SAC
2017-02-08,GSW
2017-02-10,PHO
2017-02-12,MIN
2017-02-14,TOR
2017-02-16,BOS
2017-02-24,PHO
2017-02-25,CLE
2017-02-28,DEN
2017-03-02,GSW
2017-03-04,LAC
2017-03-06,DET
2017-03-08,ORL
2017-03-10,HOU
2017-03-12,BOS
2017-03-13,CHO
2017-03-15,MEM
2017-03-17,WAS
2017-03-18,UTA
2017-03-21,TOR
2017-03-22,DET
2017-03-24,PHI
2017-03-26,MIL
2017-03-30,CLE
2017-04-01,ATL
2017-04-02,NOP
2017-04-04,NYK
2017-04-06,PHI
2017-04-08,BRK
2017-04-10,ORL
2017-04-12,BRK
