Player,WS48
Elton Brand,.101
Ron Mercer,.035
Metta World Peace,.039
Fred Hoiberg,.126
Marcus Fizer,-0.022
Brad Miller,.114
Bryce Drew,-0.015
Jamal Crawford,-0.043
Khalid El-Amin,.030
Michael Ruffin,.056
Corey Benjamin,-0.028
A.J. Guyton,.020
Dragan Tarlać,-0.016
Dalibor Bagarić,-0.121
Jake Voskuhl,-0.007
Steve Goodrich,-0.038
