Player,WS48
Luol Deng,.132
Carlos Boozer,.187
Joakim Noah,.223
Ronnie Brewer,.113
Kyle Korver,.172
Derrick Rose,.211
Taj Gibson,.167
C.J. Watson,.109
Ömer Aşık,.129
John Lucas III,.143
Richard Hamilton,.092
Jimmy Butler,.144
Brian Scalabrine,.108
Mike James,.111
