Player,WS48
Coby White,.052
Zach LaVine,.138
Patrick Williams,.060
Thaddeus Young,.147
Garrett Temple,.050
Lauri Markkanen,.109
Tomáš Satoranský,.113
Denzel Valentine,.032
Nikola Vučević,.137
Wendell Carter Jr.,.130
Daniel Theis,.116
Otto Porter Jr.,.108
Ryan Arcidiacono,.093
Daniel Gafford,.182
Troy Brown Jr.,.107
Javonte Green,.114
Luke Kornet,.047
Cristiano Felício,.151
Al-Farouq Aminu,-0.013
Chandler Hutchison,-0.103
Adam Mokoka,-0.112
Devon Dotson,.177
