Date,Opp
2020-12-23,ATL
2020-12-26,IND
2020-12-27,GSW
2020-12-29,WAS
2020-12-31,WAS
2021-01-01,MIL
2021-01-03,DAL
2021-01-05,POR
2021-01-06,SAC
2021-01-08,LAL
2021-01-10,LAC
2021-01-15,OKC
2021-01-17,DAL
2021-01-18,HOU
2021-01-22,CHO
2021-01-23,LAL
2021-01-25,BOS
2021-01-30,POR
2021-02-01,NYK
2021-02-03,NYK
2021-02-05,ORL
2021-02-06,ORL
2021-02-08,WAS
2021-02-10,NOP
2021-02-12,LAC
2021-02-15,IND
2021-02-17,DET
2021-02-19,PHI
2021-02-20,SAC
2021-02-22,HOU
2021-02-24,MIN
2021-02-26,PHO
2021-03-01,DEN
2021-03-03,NOP
2021-03-11,PHI
2021-03-12,MIA
2021-03-14,TOR
2021-03-16,OKC
2021-03-17,SAS
2021-03-19,DEN
2021-03-21,DET
2021-03-22,UTA
2021-03-24,CLE
2021-03-27,SAS
2021-03-29,GSW
2021-03-31,PHO
2021-04-02,UTA
2021-04-04,BRK
2021-04-06,IND
2021-04-08,TOR
2021-04-09,ATL
2021-04-11,MIN
2021-04-12,MEM
2021-04-14,ORL
2021-04-16,MEM
2021-04-17,CLE
2021-04-19,BOS
2021-04-21,CLE
2021-04-22,CHO
2021-04-24,MIA
2021-04-26,MIA
2021-04-28,NYK
2021-04-30,MIL
2021-05-01,ATL
2021-05-03,PHI
2021-05-06,CHO
2021-05-07,BOS
2021-05-09,DET
2021-05-11,BRK
2021-05-13,TOR
2021-05-15,BRK
2021-05-16,MIL
