Player,WS48
Scottie Pippen,.132
Michael Jordan,.270
Horace Grant,.159
B.J. Armstrong,.144
Scott Williams,.136
Bill Cartwright,.048
Stacey King,.088
John Paxson,.087
Rodney McCray,.044
Will Perdue,.120
Trent Tucker,.150
Darrell Walker,.073
Corey Williams,.042
Ed Nealy,.091
Joe Courtney,.019
Jo Jo English,-0.163
Ricky Blanton,.088
