Date,Sep,Opp,WL,TmScore,OppScore,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1997-01-14,,VAN,W,91,81,96.2,85.7,94.6,.279,.256,.471,54.6,57.9,12.7,20.8,.483,15.0,34.7,.093,.382,13.7,75.0,.188
1997-01-16,,POR,L,98,102,109.3,113.8,89.6,.592,.197,.511,48.1,60.6,4.5,21.6,.461,12.8,37.0,.368,.560,18.5,64.5,.403
1997-01-18,,DET,L,97,100,103.9,107.1,77.3,.214,.265,.452,52.7,67.5,5.4,13.7,.439,10.8,40.4,.112,.440,8.8,66.0,.207
1997-01-20,,DAL,W,109,99,117.5,106.7,92.8,.532,.208,.573,42.4,74.3,9.7,12.9,.519,10.4,26.2,.377,.481,18.4,58.1,.308
1997-01-24,,GSW,W,114,97,120.7,102.7,94.5,.263,.232,.538,58.1,77.3,6.4,15.6,.500,13.8,52.1,.200,.438,12.9,64.4,.213
1997-01-26,@,SEA,W,104,103,118.5,117.3,87.8,.233,.349,.549,56.3,60.0,5.7,12.9,.535,12.1,37.5,.140,.468,7.0,75.0,.403
1997-01-28,@,DAL,W,102,83,114.0,92.7,89.5,.272,.198,.562,51.1,46.3,14.5,8.8,.537,13.4,33.3,.185,.405,16.7,66.7,.241
1997-01-29,@,SAS,W,99,92,108.5,100.8,91.3,.345,.250,.512,52.8,62.2,8.8,9.5,.488,11.8,31.8,.202,.468,13.5,73.3,.244
1997-02-02,,WSB,W,129,99,125.0,95.9,103.2,.396,.132,.604,59.1,45.8,10.7,9.2,.555,11.6,34.1,.308,.478,12.2,78.8,.120
1997-02-04,@,LAC,L,86,108,87.3,109.7,98.5,.438,.275,.451,36.5,53.6,17.3,10.2,.381,15.1,19.6,.313,.586,22.2,61.8,.160
1997-02-05,,CHI,W,106,90,120.2,102.0,88.2,.236,.236,.539,60.2,58.5,10.2,14.5,.494,9.2,39.5,.202,.481,11.9,77.8,.148
1997-02-12,@,MIN,W,100,84,107.4,90.2,93.1,.267,.128,.520,52.7,57.5,14.0,20.3,.488,12.7,32.6,.186,.388,13.7,72.3,.275
1997-02-13,@,DEN,W,132,117,124.7,110.6,105.8,.404,.255,.596,45.1,60.0,13.2,14.3,.543,6.7,19.1,.319,.523,15.9,72.7,.314
1997-02-16,,SEA,L,91,102,107.7,120.7,84.5,.351,.234,.512,54.5,64.5,5.9,10.0,.442,14.4,38.5,.299,.525,10.1,71.1,.241
1997-02-19,,CLE,L,84,103,114.3,140.1,73.5,.534,.259,.586,43.8,65.4,1.4,8.5,.509,15.4,26.7,.431,.521,4.4,58.8,.408
1997-02-21,,VAN,W,99,91,119.6,109.9,82.8,.333,.278,.600,57.1,78.4,6.0,24.6,.576,14.5,30.3,.222,.507,11.1,81.1,.343
1997-02-23,,NYK,L,121,127,103.8,109.0,96.4,.364,.232,.527,43.2,69.0,11.2,9.6,.465,12.9,24.6,.293,.485,15.5,63.0,.262
1997-02-25,@,HOU,L,96,100,101.3,105.5,94.8,.310,.274,.503,50.0,61.1,6.3,9.1,.452,10.3,23.3,.238,.526,17.1,81.1,.247
1997-02-27,@,WSB,W,122,107,125.2,109.8,97.4,.302,.198,.626,47.1,46.8,9.2,7.0,.587,9.3,21.2,.244,.494,15.2,70.3,.317
1997-02-28,@,ATL,L,75,86,90.6,103.8,82.8,.333,.253,.436,45.7,50.0,6.0,7.0,.380,10.4,22.2,.240,.507,13.9,75.0,.149
1997-03-02,@,IND,L,85,101,98.9,117.5,86.0,.300,.288,.469,42.2,65.5,12.8,10.9,.425,9.9,26.5,.213,.581,15.8,64.7,.203
1997-03-04,@,DAL,W,102,92,105.3,95.0,96.8,.286,.274,.539,52.8,34.3,9.3,10.6,.476,17.5,30.4,.262,.449,16.7,76.7,.266
1997-03-07,,HOU,L,90,111,101.1,124.7,89.0,.298,.226,.474,42.0,67.6,10.1,9.4,.429,8.7,28.3,.214,.591,16.8,60.0,.171
1997-03-09,,NJN,W,115,105,115.4,105.4,99.6,.318,.282,.594,47.5,66.7,10.0,8.2,.547,17.1,32.4,.259,.484,15.5,58.7,.125
1997-03-12,,GSW,W,109,101,119.9,111.1,90.9,.286,.209,.532,56.6,69.8,9.9,11.8,.495,12.8,48.8,.209,.483,12.8,64.3,.209
1997-03-14,,LAC,L,95,97,107.4,109.7,88.4,.250,.315,.465,57.0,60.0,13.6,5.2,.435,11.3,44.9,.163,.527,14.7,73.0,.257
1997-03-16,,TOR,W,98,90,102.5,94.1,86.6,.538,.250,.495,42.7,61.3,12.6,8.3,.406,10.8,23.4,.413,.438,17.3,61.2,.235
1997-03-17,@,DEN,W,113,94,120.1,99.9,94.1,.282,.295,.644,51.3,35.7,11.7,8.6,.628,15.4,22.6,.192,.462,16.4,70.2,.282
1997-03-20,@,CLE,W,89,76,110.8,94.6,80.3,.429,.257,.535,47.9,59.4,10.0,8.7,.521,12.6,30.8,.229,.492,20.9,68.8,.242
1997-03-21,@,MIA,L,97,98,114.7,115.9,84.6,.378,.230,.562,54.4,55.9,8.3,19.0,.514,12.2,31.4,.284,.532,11.1,72.7,.192
1997-03-23,@,ORL,L,84,110,92.4,121.0,90.9,.224,.235,.450,46.0,63.6,7.7,3.3,.412,11.4,25.0,.165,.580,11.5,71.8,.103
1997-03-24,@,NJN,W,109,84,115.0,88.6,94.8,.314,.163,.557,50.9,46.3,11.6,15.1,.506,11.7,40.9,.256,.343,13.7,58.1,.137
1997-03-26,,MIL,W,106,84,114.0,90.3,93.0,.443,.205,.504,53.6,57.9,10.8,2.9,.460,7.9,40.4,.284,.427,19.4,66.0,.171
1997-03-27,@,VAN,W,102,98,112.0,107.6,82.5,.425,.230,.494,49.0,66.7,8.8,7.9,.414,8.8,34.6,.345,.474,14.0,65.9,.325
1997-04-01,@,SEA,W,99,97,113.9,111.6,86.9,.306,.247,.513,49.4,32.4,10.4,10.6,.476,8.5,35.7,.212,.440,11.0,61.7,.289
