"Date","Opp","WL","TmFGper","Tm3Pper","TmFTper","OppFGper","Opp3Pper","OppFTper","FTr","TSper","TRBper","ASTper","STLper","BLKper","OffeFGper","OffTOVper","OffORBper","OffFT_d_FGA","DefeFGper","DefTOVper","DefDRBper","DefFT_d_FGA","HomeGame","PlayOff"
"1996-12-25","PHO",TRUE,0.488,0.471,0.6,0.351,0.286,0.756,0.357,0.556,0.576,0.537,0.094,0.05,0.536,0.102,0.225,0.214,0.378,0.115,0.846,0.419,FALSE,TRUE
"1996-12-27","BOS",TRUE,0.474,0.45,0.538,0.537,0.125,0.591,0.684,0.551,0.518,0.611,0.125,0.108,0.533,0.132,0.367,0.368,0.543,0.149,0.722,0.159,TRUE,FALSE
"1996-12-29","PHI",TRUE,0.511,0.375,0.731,0.45,0.294,0.714,0.295,0.578,0.427,0.689,0.196,0.111,0.545,0.116,0.293,0.216,0.481,0.194,0.561,0.313,TRUE,FALSE
"1997-01-02","SAC",TRUE,0.422,0.5,0.682,0.423,0.333,0.583,0.265,0.486,0.523,0.429,0.059,0.087,0.452,0.079,0.364,0.181,0.442,0.153,0.682,0.179,FALSE,FALSE
"1997-01-03","SAC",TRUE,0.376,0.35,0.806,0.422,0.389,0.64,0.424,0.496,0.522,0.531,0.069,0.108,0.418,0.114,0.444,0.341,0.464,0.138,0.596,0.193,TRUE,FALSE
"1997-01-05","VAN",TRUE,0.463,0.455,0.696,0.345,0.316,0.571,0.288,0.527,0.429,0.892,0.101,0.088,0.494,0.151,0.279,0.2,0.379,0.139,0.545,0.184,FALSE,FALSE
"1997-01-06","POR",FALSE,0.473,0.2,0.458,0.384,0.286,0.7,0.324,0.497,0.432,0.514,0.057,0.102,0.493,0.142,0.179,0.149,0.411,0.117,0.667,0.384,FALSE,TRUE
"1997-01-08","CHH",TRUE,0.446,0.278,0.636,0.413,0.353,0.833,0.239,0.497,0.517,0.561,0.061,0.206,0.473,0.121,0.267,0.152,0.45,0.139,0.773,0.313,TRUE,TRUE
"1997-01-10","MIA",TRUE,0.412,0.417,0.559,0.402,0.136,0.485,0.4,0.47,0.524,0.686,0.084,0.133,0.441,0.123,0.315,0.224,0.421,0.127,0.745,0.195,TRUE,TRUE
"1997-01-14","VAN",TRUE,0.442,0.318,0.333,0.365,0.231,0.727,0.279,0.471,0.546,0.579,0.127,0.208,0.483,0.15,0.347,0.093,0.382,0.137,0.75,0.188,TRUE,FALSE
"1997-01-16","POR",FALSE,0.434,0.267,0.622,0.493,0.563,0.711,0.592,0.511,0.481,0.606,0.045,0.216,0.461,0.128,0.37,0.368,0.56,0.185,0.645,0.403,TRUE,TRUE
"1997-01-18","DET",FALSE,0.408,0.231,0.524,0.413,0.263,0.76,0.214,0.452,0.527,0.675,0.054,0.137,0.439,0.108,0.404,0.112,0.44,0.088,0.66,0.207,TRUE,TRUE
"1997-01-20","DAL",TRUE,0.455,0.625,0.707,0.436,0.438,0.706,0.532,0.573,0.424,0.743,0.097,0.129,0.519,0.104,0.262,0.377,0.481,0.184,0.581,0.308,TRUE,FALSE
"1997-01-24","GSW",TRUE,0.463,0.318,0.76,0.427,0.167,0.704,0.263,0.538,0.581,0.773,0.064,0.156,0.5,0.138,0.521,0.2,0.438,0.129,0.644,0.213,TRUE,FALSE
"1997-01-26","SEA",TRUE,0.465,0.4,0.6,0.429,0.4,0.838,0.233,0.549,0.563,0.6,0.057,0.129,0.535,0.121,0.375,0.14,0.468,0.07,0.75,0.403,FALSE,TRUE
"1997-01-28","DAL",TRUE,0.506,0.313,0.682,0.392,0.182,0.792,0.272,0.562,0.511,0.463,0.145,0.088,0.537,0.134,0.333,0.185,0.405,0.167,0.667,0.241,FALSE,FALSE
"1997-01-29","SAS",TRUE,0.44,0.381,0.586,0.423,0.467,0.704,0.345,0.512,0.528,0.622,0.088,0.095,0.488,0.118,0.318,0.202,0.468,0.135,0.733,0.244,FALSE,FALSE
"1997-02-02","WSB",TRUE,0.527,0.417,0.778,0.457,0.25,0.55,0.396,0.604,0.591,0.458,0.107,0.092,0.555,0.116,0.341,0.308,0.478,0.122,0.788,0.12,TRUE,TRUE
