Date,Opp
2019-10-23,CHO
2019-10-25,MEM
2019-10-26,TOR
2019-10-28,NYK
2019-10-30,CLE
2019-11-01,DET
2019-11-03,IND
2019-11-05,LAL
2019-11-06,ATL
2019-11-09,HOU
2019-11-12,NYK
2019-11-14,MIL
2019-11-16,BRK
2019-11-18,MIL
2019-11-20,DET
2019-11-22,MIA
2019-11-23,CHO
2019-11-25,POR
2019-11-27,GSW
2019-11-29,POR
2019-12-02,SAC
2019-12-04,MEM
2019-12-06,GSW
2019-12-08,MIA
2019-12-09,TOR
2019-12-11,ATL
2019-12-13,CHO
2019-12-14,LAC
2019-12-16,OKC
2019-12-18,WAS
2019-12-21,DET
2019-12-23,ORL
2019-12-28,ATL
2019-12-30,MIL
2020-01-02,UTA
2020-01-04,BOS
2020-01-06,DAL
2020-01-08,NOP
2020-01-10,IND
2020-01-11,DET
2020-01-13,BOS
2020-01-15,WAS
2020-01-17,PHI
2020-01-18,CLE
2020-01-20,MIL
2020-01-22,MIN
2020-01-24,SAC
2020-01-25,CLE
2020-01-27,SAS
2020-01-29,IND
2020-01-31,BRK
2020-02-02,TOR
2020-02-06,NOP
2020-02-09,PHI
2020-02-11,WAS
2020-02-20,CHO
2020-02-22,PHO
2020-02-23,WAS
2020-02-25,OKC
2020-02-29,NYK
2020-03-02,DAL
2020-03-04,MIN
2020-03-06,IND
2020-03-08,BRK
2020-03-10,CLE
