Player,WS48
Zach LaVine,.091
Tomáš Satoranský,.090
Coby White,.026
Thaddeus Young,.058
Lauri Markkanen,.084
Kris Dunn,.085
Wendell Carter Jr.,.127
Ryan Arcidiacono,.071
Daniel Gafford,.146
Luke Kornet,.091
Chandler Hutchison,.060
Denzel Valentine,.048
Shaquille Harrison,.153
Cristiano Felício,.126
Otto Porter Jr.,.112
Adam Mokoka,.073
Max Strus,.316
