Player,WS48
Elton Brand,.121
Metta World Peace,.050
Dickey Simpkins,-0.021
Randy Brown,-0.024
Hersey Hawkins,.077
Matt Maloney,.028
Chris Carr,-0.015
Will Perdue,-0.023
Chris Anstey,.090
Michael Ruffin,.032
Toni Kukoč,.067
Corey Benjamin,-0.013
Fred Hoiberg,.100
B.J. Armstrong,.030
Dedric Willoughby,.040
Kornél Dávid,.025
Rusty LaRue,-0.025
John Starks,.058
Khalid Reeves,-0.046
Lari Ketner,-0.026
