Player,WS48
Scottie Pippen,.192
Michael Jordan,.274
Horace Grant,.237
John Paxson,.117
B.J. Armstrong,.117
Bill Cartwright,.082
Stacey King,.118
Cliff Levingston,.139
Will Perdue,.121
Bob Hansen,.054
Scott Williams,.160
Craig Hodges,.068
Mark Randall,.036
Rory Sparrow,-0.260
Dennis Hopson,.100
Chuck Nevitt,-0.467
