Date,Opp
1991-11-01,PHI
1991-11-02,MIL
1991-11-05,GSW
1991-11-06,BOS
1991-11-08,DAL
1991-11-09,ORL
1991-11-12,DET
1991-11-13,CHH
1991-11-15,MIL
1991-11-20,GSW
1991-11-22,SEA
1991-11-23,DEN
1991-11-26,LAC
1991-11-29,POR
1991-11-30,SAC
1991-12-04,CLE
1991-12-06,CHH
1991-12-07,PHI
1991-12-10,SEA
1991-12-13,NYK
1991-12-14,WSB
1991-12-17,LAL
1991-12-20,NJN
1991-12-21,ATL
1991-12-25,BOS
1991-12-26,ATL
1991-12-28,SAC
1991-12-30,IND
1992-01-03,MIL
1992-01-04,NJN
1992-01-07,WSB
1992-01-08,MIA
1992-01-10,UTA
1992-01-11,MIA
1992-01-14,PHI
1992-01-16,CLE
1992-01-17,SAS
1992-01-19,DET
1992-01-21,PHO
1992-01-22,CHH
1992-01-24,DET
1992-01-25,HOU
1992-01-28,SAS
1992-01-30,HOU
1992-01-31,DAL
1992-02-02,LAL
1992-02-03,UTA
1992-02-05,PHO
1992-02-11,NJN
1992-02-13,NYK
1992-02-15,NYK
1992-02-17,CLE
1992-02-19,ORL
1992-02-21,ATL
1992-02-22,MIN
1992-02-25,DET
1992-02-26,WSB
1992-02-28,MIL
1992-03-01,POR
1992-03-03,IND
1992-03-05,MIN
1992-03-06,MIA
1992-03-08,PHI
1992-03-11,BOS
1992-03-14,ORL
1992-03-16,MIA
1992-03-17,NJN
1992-03-19,WSB
1992-03-21,ORL
1992-03-24,DEN
1992-03-28,CLE
1992-03-31,NYK
1992-04-01,CHH
1992-04-03,LAC
1992-04-05,BOS
1992-04-07,MIL
1992-04-10,IND
1992-04-11,IND
1992-04-13,ATL
1992-04-14,CLE
1992-04-17,ATL
1992-04-19,DET
