Date,Opp
1987-11-07,PHI
1987-11-10,ATL
1987-11-11,NJN
1987-11-13,NJN
1987-11-14,IND
1987-11-17,WSB
1987-11-18,WSB
1987-11-20,ATL
1987-11-21,DET
1987-11-23,BOS
1987-11-25,MIL
1987-11-27,DAL
1987-11-28,HOU
1987-12-01,GSW
1987-12-02,UTA
1987-12-04,DEN
1987-12-05,SAS
1987-12-08,PHI
1987-12-10,MIL
1987-12-12,HOU
1987-12-15,DET
1987-12-17,CLE
1987-12-19,WSB
1987-12-22,DAL
1987-12-23,NYK
1987-12-26,IND
1987-12-29,ATL
1988-01-02,NJN
1988-01-05,IND
1988-01-07,DEN
1988-01-09,UTA
1988-01-12,BOS
1988-01-14,CLE
1988-01-16,DET
1988-01-18,WSB
1988-01-19,ATL
1988-01-22,PHO
1988-01-23,GSW
1988-01-26,IND
1988-01-27,PHI
1988-01-29,NJN
1988-01-30,NYK
1988-02-01,SAC
1988-02-02,LAL
1988-02-04,PHO
1988-02-09,DET
1988-02-10,NJN
1988-02-12,MIL
1988-02-13,DET
1988-02-15,ATL
1988-02-19,SAC
1988-02-21,CLE
1988-02-23,SEA
1988-02-26,POR
1988-02-27,MIL
1988-02-29,PHI
1988-03-03,PHI
1988-03-05,LAC
1988-03-07,NYK
1988-03-10,LAL
1988-03-12,SAS
1988-03-15,CLE
1988-03-16,WSB
1988-03-18,BOS
1988-03-20,BOS
1988-03-23,PHI
1988-03-25,CLE
1988-03-26,IND
1988-03-29,SEA
1988-03-30,LAC
1988-04-01,POR
1988-04-03,DET
1988-04-05,WSB
1988-04-06,MIL
1988-04-08,NYK
1988-04-14,IND
1988-04-15,NJN
1988-04-17,MIL
1988-04-19,NYK
1988-04-21,BOS
1988-04-22,CLE
1988-04-24,BOS
